Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
BAY571798,Sam Antwi,"22719 Akyeampong Isle Suite 841
Shirleyville, PR 69748",margaret15@example.net,+233555004427,Call,36127,App,SMS
BAY786243,Justin Nkrumah,"7147 Susan Harbors
New Adamborough, WA 03401",kdanso@example.net,0262884986,Call,56845,Website,Call
BAY627710,Mama Susan Okyere,"USNS Kyei
FPO AA 72961",donkorstephanie@example.com,+233547500896,Email,85387,App,Call
BAY856813,Gerald Ankra,"1557 Ampofowaa Key Apt. 436
North Nathanburgh, NY 99246",asieduelizabeth@example.org,+233562228740,Call,72436,App,Email
BAY594701,Abeiku Baafi-Ofori,"11929 Amo Point
Joelburgh, MA 66498",awesi42@example.net,+233274097323,Call,99110,App,SMS
BAY726895,Fiifi Gyasi-Afoakwa,"USS Mensa
FPO AA 00636",toppong@example.com,+233206976791,Email,79077,Website,SMS
BAY786872,Daniel Baafi,"593 Nkansa Springs Suite 972
North Jakeport, AL 55742",mensahgrace@example.net,0507211578,Call,70411,Website,Email
BAY316425,Owura Paul Otuo,"0565 Gyasi Views
Agyapongland, MS 53073",jgyasi@example.com,0570526765,Call,52565,App,Call
BAY308917,Harry Akyena,"12634 Kweku Junction Suite 439
West Thomasborough, WI 93794",francescaagyei@example.net,0287928067,SMS,19024,App,SMS
BAY626833,Sheila Tweneboa,"78689 Joyce Lane
Kyleborough, ID 71796",kyle79@example.net,0275341338,SMS,12013,Website,Email
BAY695284,Donald Adomah,"27440 Gyamfi Valley Suite 711
Geraldside, PW 45287",mary70@example.com,0204372297,Email,5005,App,SMS
BAY2570,Charlotte Adusei,"32937 Gyasi Stream
Ahortorstad, ID 40768",tonymensa@example.com,+233543239751,SMS,49057,Website,Email
BAY776804,Samantha Adutwumwaa,"8793 Afia Green
Otichester, NY 24522",russellagyare@example.net,0574228487,SMS,76763,Website,Email
BAY313755,Priscilla Ampofo,"07500 Amoasi Manor Apt. 314
Port Tony, NH 62559",rtakyi@example.net,0578974036,Email,11371,Website,Call
BAY1407,Vincent Nkansa,"225 Nyantakyi Lakes Apt. 179
Oliviaside, MD 76720",alex31@example.org,0209803305,SMS,68552,App,Call
BAY552200,Kwabena Danso-Opoku,"7980 Frank Flat Suite 168
Kwartengton, VA 58179",annakyeampong@example.com,+233504788643,Email,63385,App,Email
BAY855991,Miss Susan Baa,"13247 Benjamin Extensions
Awesiborough, LA 76555",lofori@example.com,0557097801,SMS,89030,App,Call
BAY801525,Adrian Asante,"523 Adusei Wells Apt. 498
Port Pamelaside, CO 83467",qboateng@example.org,0509381400,SMS,24188,App,Email
BAY523090,Martin Appiah,"USNV Amponsa
FPO AA 73492",nimakoahgyamfi@example.com,0206960358,SMS,68125,Website,SMS
BAY843814,Rachel Baawia,"20586 Teresa Plains Suite 107
New Victoria, CA 43221",wamponsa@example.com,+233285205312,SMS,53770,Website,Call
BAY954055,Mrs. Awesi Adomah,"USCGC Danso
FPO AA 73158",john62@example.net,0500358904,SMS,27041,App,Email
BAY192937,Agya William Ofori,"1678 Simon Run
Gyasichester, MS 48417",amber27@example.org,0271672711,SMS,93779,App,Call
BAY602554,Kenneth Adutwum,"85285 Natalie Hollow
Boatenghaven, MD 53785",ntiamoakaren@example.com,0541949968,Email,62208,App,Call
BAY753975,Susan Kumi,"8780 Baawia Causeway Apt. 275
Aboraachester, CA 16455",dantwi@example.org,+233207659768,Email,11288,Website,SMS
BAY293968,Linda Daako,"812 Olivia Lock
Bonsraville, TN 36018",clifford48@example.com,0244273773,SMS,83014,App,Email
BAY956590,Isaac Asante,"PSC 4905, Box 4524
APO AA 87650",clifford84@example.com,+233241732918,SMS,96163,App,Email
BAY620906,Sharon Asantewaa,"8756 Howard Mountains
North Lucy, RI 83404",ababona@example.net,0567580680,SMS,32319,Website,SMS
BAY190773,Joanna Akyeampomaa,"997 Kumi Station
Opokuhaven, GU 94277",lawrencegyamfi@example.net,+233565068474,SMS,39204,App,SMS
BAY306378,Mandy Okyere,"Unit 5003 Box 7705
DPO AA 36601",boakyewaawilliam@example.org,+233247554563,Email,82295,App,Email
BAY353190,Lucy Fosua-Bonsra,"PSC 9124, Box 1559
APO AA 28887",irenedanso@example.com,0200241054,Call,33217,Website,Call
BAY185290,Agya Russell Danso,"75279 Nathan Inlet Suite 711
Gyamfiaastad, TN 65861",amoasiantony@example.com,+233554914991,Call,55732,App,Email
BAY429152,Kyle Akyerεko,"4515 Oppong Ways Suite 424
Jeremyview, OR 40287",jbonsu@example.net,+233274736191,Call,91743,App,Call
BAY122769,Agya Roger Ampadu,"61083 Jason Spurs
Port Akwesiton, VI 61136",jackamoako@example.com,0547033623,SMS,39705,App,Email
BAY269465,Julie Nyantakyi,"1550 Agyeiwaa Ranch
Lydiabury, NY 55032",ankrafrancesca@example.org,+233201244514,Call,71861,App,Call
BAY934266,Awura Rachel Amoasi,"0178 Baawia Path Suite 719
South Danielville, DE 02637",arthurampofo@example.com,0282078510,Email,63179,App,Email
BAY980845,Constance Osei,"235 Vanessa Oval Apt. 938
South Denisfort, MD 44002",annnkansa@example.org,0577233765,Call,19309,Website,SMS
BAY965681,Adwoa Kyerewaa,"5676 Akowua Circle
Sylviatown, MS 88074",gyasiwaakyle@example.com,0574630574,Call,77766,Website,Email
BAY566813,Akos Pomaa,"Unit 0364 Box 9499
DPO AA 30939",comfort78@example.com,0272965116,Call,62087,App,Call
BAY576641,Philip Takyi,"595 Gyasiwaa Street Apt. 219
South Richardfurt, RI 83730",deborah78@example.com,0578808180,Email,57429,App,Email
BAY990322,Miss Danielle Akyeampong,"6014 Baafi Islands
Darkobury, SC 73835",kwadwo62@example.com,0551980430,Call,53272,App,Call
BAY875687,Grace Asare,"56055 Max Dale Suite 114
North Awesiport, SC 50394",rgyamfi@example.net,0287644116,SMS,27847,Website,Email
BAY190586,Mary Acheampong,"4069 Annette Junctions
East Donald, GU 33908",dennis59@example.net,0551751384,Email,14683,App,SMS
BAY260243,Helen Adwubi,"72241 Oti Walk Apt. 770
Ameliabury, WI 90497",debradonkor@example.org,+233561019184,Call,74895,Website,Call
BAY64199,Dr. Mary Prempeh,"233 Ntiamoa Port Apt. 501
South Regina, DC 67682",appiahruth@example.com,0207838132,Email,20030,Website,Call
BAY352808,Lydia Takyi,"222 Agyei Spur Suite 031
North Rosemaryhaven, WY 28597",imensa@example.net,+233283423900,Email,1205,App,SMS
BAY609921,Mathew Tawia,"0751 Duncan Hills Suite 756
Maureenfurt, SD 38218",tracybaah@example.net,0556098234,SMS,8154,Website,Call
BAY916416,Louis Bonsu,"7551 Sarpong Heights
Nyantakyichester, TX 96131",agyarecomfort@example.org,0270919729,Email,31307,Website,SMS
BAY366734,Charlotte Appiah,"242 Ntiamoa Unions Apt. 979
West Akwasi, MA 17506",ansapriscilla@example.org,0564483063,SMS,59144,Website,Call
BAY155660,Hannabel Boatemaah,"337 Akumaa Brook Apt. 860
North Josh, DC 77742",gregory84@example.net,0274252934,SMS,92402,App,Call
BAY730559,Tony Kyei,"88403 Frederick Lakes Apt. 350
Olivershire, VI 02801",oliviaasamoa@example.com,+233578259842,SMS,91445,App,SMS
BAY911650,Adam Oppong-Agyei,"352 Ata Stream
West Yaw, IL 47868",nyamenana-ama@example.net,+233204879560,SMS,5936,Website,Email
BAY511098,Kwasi Darko,"Unit 0187 Box 7738
DPO AP 45130",deniseabrafi@example.com,+233579356417,Call,57177,App,Email
BAY998740,Bruce Agyare-Boadu,"686 Lawrence Village
Boakyewaamouth, VA 12359",vincent64@example.com,0275061862,Email,67464,Website,SMS
BAY56438,Awura Priscilla Nyaako,"3969 Tawia Pine
Boakyefort, CA 59561",lindaacheampong@example.org,0272886166,SMS,65080,Website,SMS
BAY182277,Steven Oti-Ampofo,"3684 Agyemang Underpass Suite 938
North Elliot, NY 31052",agyapongsalomey@example.net,+233544061992,SMS,93971,Website,Email
BAY138486,Mama Katy Baafi,"1424 Susan Via Suite 439
Fremaland, VT 09715",aaronappiah@example.org,0206722854,Call,33289,App,Email
BAY952774,Francis Tweneboa-Asare,"80263 Dorcas Ports
Port Victoriaborough, FM 92747",sduah@example.org,+233500033474,Email,1064,App,Call
BAY818649,Osofo Nigel Bona,"80529 Oliver Mill
Millicentchester, SC 65899",uappiah@example.com,+233564666994,Call,20661,App,Call
BAY849739,Baaba Agyapomaa,"3928 Amoakowaa Track Suite 095
West Gregory, IL 21408",prempehcomfort@example.org,+233559151708,Email,95587,Website,Email
BAY797246,Katy Baah,"43774 Sarah Ville Apt. 519
Akoaaburgh, PW 24869",douglas42@example.com,+233556297344,SMS,49379,App,SMS
BAY769286,Kweku Duah,"00564 Alexander Rest Suite 525
Lake Lisa, FM 21636",ntimroselyn@example.org,0503093320,Email,66343,Website,SMS
BAY637362,Shaun Kwaakye,"1881 Tony Ways
Richardview, PA 05628",xboadu@example.net,0269383771,Email,27880,Website,SMS
BAY218879,Amelia Anokye,"0374 Amoa View Suite 196
South Sarahview, DE 33503",julianopoku@example.net,0506900517,SMS,95317,App,Call
BAY960897,Agya Elliot Baa,"651 Victor Stream
South Mandyton, HI 30134",kwakukwaakye@example.net,0544171843,Email,33831,Website,Email
BAY547448,Dr. Sarah Bona,"33602 Nkansa Harbors Suite 823
Akyeampomaamouth, UT 32136",xofori@example.com,0277734601,Call,73499,Website,Call
BAY639676,Mrs. Lydia Agyapong,"USS Bonsu
FPO AP 37480",aofori@example.org,+233271976410,SMS,70362,Website,Email
BAY934107,Mr. Stanley Asiedu,"0639 Kevin Landing
New Tony, GU 18123",vtwumasi@example.com,+233577140658,Email,86599,Website,Email
BAY945583,Gifty Adutwumwaa,"94269 George Fall
West Harryhaven, AR 87427",boaduernestina@example.org,+233573205826,Email,78137,App,SMS
BAY500333,Regina Ampofo-Danso,"1828 Jason Path
West Helenmouth, MD 16800",acheamponglydia@example.com,0501758708,SMS,43579,App,Call
BAY635907,Gerald Yaamoa,"PSC 0794, Box 6589
APO AE 75316",ntakyi@example.org,0279559439,Email,47476,Website,Email
BAY452025,Agya Shaun Ata,"645 Boatemaa Viaduct
Kwartemaaview, WA 59244",akumaabaafi@example.org,0204969620,SMS,62062,App,Call
BAY385069,Joshua Badu-Wiafe,"9489 Sarah Knoll Suite 795
Dorafurt, IN 54649",wasiama@example.com,0571925675,Call,33613,App,Email
BAY462826,Janet Darko-Abrafi,"24181 Adutwumwaa Pass Suite 369
Afrakomaastad, NC 38398",opokukojo@example.org,0555566234,Call,86726,Website,Call
BAY853192,Kyle Badu,"741 Adrian Manors Suite 366
Kyleshire, AK 11781",bankra@example.org,0509226318,Call,69081,App,Call
BAY285288,Annette Akoto,"630 Baawia Walks Suite 948
Lake Giftyport, MT 13848",dansochristian@example.net,0501345930,SMS,1160,Website,SMS
BAY387715,Roger Obeng,"73437 Lorraine Glens Suite 186
Otistad, LA 24342",margaret99@example.com,0281246840,Call,63483,App,Email
BAY805571,Ronald Ofori,"34676 Jonathan Ford Apt. 106
West Christina, CO 25426",owusufiifi@example.com,0548613219,Email,59768,Website,Email
BAY443126,Mama Maureen Ntim,"3216 Afrakomaa Mill
Safoborough, MD 47517",elliotafirifa@example.net,0542031500,Call,47254,App,Email
BAY66519,Mark Amoasi,"Unit 1806 Box 0801
DPO AA 18101",lawrencedaako@example.com,+233548161519,Email,72609,Website,SMS
BAY879536,Ruth Amoanimaa,"86813 Agyapong Inlet
West Joseph, NJ 08986",christinaprempeh@example.net,+233550245753,Call,77834,Website,Call
BAY690840,Fiifi Bonsu,"6273 Rebecca Lodge Apt. 388
East James, IL 18559",charles49@example.org,0508074409,SMS,48451,Website,Email
BAY966332,Lawrence Tweneboa,"006 Matthew Shores
South Julianamouth, MA 82113",isafo@example.com,+233509917520,Call,15618,Website,Call
BAY360514,Nimakoah Amponsa,"847 Ama Garden
Ansomaaland, AL 42478",vincentboadi@example.org,0553241339,Call,87888,App,SMS
BAY670387,Andrew Appiah,"0502 Sandra Mission
Lake Yvonnehaven, MH 62977",nigeladusei@example.com,0562703284,Call,91329,Website,Call
BAY280102,Agya Simon Antwi,"182 Janet Ports Apt. 659
Lake Shaun, MO 86764",agyemanggregory@example.net,0565784959,Email,18533,Website,Call
BAY202280,Awura Adwoa Baah,"50079 Kumi Rapid Apt. 810
South Natasha, MI 70555",yeboakwamena@example.net,+233549539529,SMS,71830,App,SMS
BAY910008,Millicent Frema,"6211 Adutwumwaa Shores
West Max, PR 37069",nadutwum@example.com,+233280414012,Email,30216,Website,Email
BAY664534,Regina Gyamfiaa-Gyamfiaa,"9374 Foriwaa Springs Suite 282
Abigailfurt, RI 47603",gtakyi@example.com,0263516437,Email,73906,App,Call
BAY867273,Ekow Oppong,"0277 Sharon Valley Suite 429
Port Albertfort, DE 27568",marcus94@example.org,0262265001,SMS,98269,App,SMS
BAY339919,Fiifi Nti,"3035 Oliver Estate Apt. 534
Martinland, VT 16357",ndarko@example.org,+233240633710,Call,53836,Website,Call
BAY915276,Nimakoah Amo,"473 Akyeampomaa Hills Apt. 459
Sarahton, TN 01983",byeboa@example.com,+233500164227,SMS,95980,Website,Email
BAY72396,Annette Asamoa-Aboraa,"655 Russell River Suite 931
Lake Ernestinaborough, VA 39353",lucy82@example.com,0274176960,Call,88085,Website,Email
BAY978431,Alex Andorful,"428 Afoakwa Common Apt. 633
New Cliffordside, TN 17674",maryboahen@example.com,0263715840,SMS,66890,App,Email
BAY525754,Akua Kumi-Agyapong,"122 Appiah Extensions Apt. 564
Lake Maureenfort, IL 82716",edward14@example.net,+233543785005,Call,17912,Website,Email
BAY528806,Osofo Maame Sharon Mansa,"1414 Dennis Crossing
New Kweku, ME 82887",peter36@example.org,+233579155017,Call,15771,Website,Call
BAY459251,Mr. Sam Bonsra,"32945 Felicia Shore
Daakoside, NY 94386",marianbaawia@example.com,0202798184,Email,89973,App,Call
BAY519889,Osofo Jeffrey Ansa,"04754 Georgia Flats Suite 011
Akosuaborough, GA 07960",adwubilydia@example.org,0554126727,Email,14089,Website,Call
BAY709288,Juliana Ampofowaa,"36589 Jacob Divide
South Millicent, MD 11271",asamoaama@example.org,0575437499,Call,20841,App,Email
BAY790793,Victor Quartey,"1424 Colins Via
Oppongfort, LA 81784",sarah10@example.com,0568882691,Call,5396,App,Call
BAY866075,Bernard Nsia,"893 Abigail Island Apt. 278
Port Jasmine, MH 49161",jessica23@example.com,0204049015,Email,68369,Website,Email
BAY916107,William Safo,"28317 Kenneth Squares
New Philipbury, MO 28762",joannayaamoa@example.net,0541695099,Call,20786,App,SMS
BAY796500,Akwasi Twumasi,"25317 Maureen Corner
Sharonland, ME 49880",baaba04@example.net,0560912979,Call,60951,Website,Call
BAY322384,Lucy Akowua,"959 Joel Green
Port Kwame, OH 36310",antwisam@example.com,+233271682709,SMS,87951,Website,Call
BAY794604,Kyle Kyei,"2542 Asare Port Apt. 627
Marybury, GU 89849",vagyare@example.net,0564615208,SMS,63476,App,Email
BAY398724,Mary Ataa,"654 Asamoa Corners
Lake Derrick, VI 75345",gasamoa@example.org,+233207091307,Email,12397,App,Email
BAY411352,Stanley Asare,"11791 Ampofowaa Dale Apt. 917
Baafishire, DC 41628",qagyare@example.com,0240446323,Email,41442,App,Call
BAY671312,Nathan Agyei,"85811 Boaten Orchard Suite 232
Josephineland, KY 51984",ttwumasi@example.com,0506986042,Email,25901,App,Email
BAY363227,Maureen Tutu-Gyamfiaa,"5577 Victoria Lodge Suite 793
Port Lisa, IN 01026",bonsrajoseph@example.net,0281841241,Email,64987,Website,Email
BAY891733,Kwabena Otiwa,"6369 COmfort Summit Apt. 205
Francistown, GU 97714",lydianyaakoaa@example.org,+233273066632,Call,35401,App,Call
BAY855500,Paula Afoakwa-Ampadu,"Unit 1320 Box 2137
DPO AP 37127",nyirenkyi@example.net,+233241384820,Call,48980,Website,Call
BAY62210,Mama Sylvia Nyaako,"2270 Janice Pike
East Esi, CA 75015",pyirenkyi@example.org,0245427489,SMS,43598,Website,Call
BAY213531,Dorcas Opoku,"865 Alice Knoll
Georgiaborough, PR 32080",wiafeben@example.com,+233283424180,Call,16353,App,Email
BAY994535,Dominic Danso,"USNS Yirenkyi
FPO AP 28296",tafirifa@example.com,0242093404,Call,73893,Website,Call
BAY368216,Susan Antwiwaa-Owusu,"5195 Stanley Mission
Pokuaaport, MD 95198",vincent12@example.com,0551896152,SMS,60728,Website,Call
BAY804241,Owura Dennis Donkor,"914 Akua Fork
Amoborough, DC 02907",bakoto@example.net,0502297178,Email,71298,Website,Call
BAY943679,Nana Ama Dufie,"PSC 9378, Box 2825
APO AA 20956",cnkansah@example.com,0566644301,Email,26772,App,SMS
BAY525458,Sista Barbara Gyamfi,"3288 Ansa Causeway Suite 711
North Karen, TX 36850",dominicopuku@example.net,0275031104,SMS,14138,Website,Email
BAY675588,Osofo Maame Barbara Frimpomaa,"831 Kwadwo Lane
COmforttown, PW 35509",wendyakyena@example.com,+233562216542,Email,28274,App,Email
