Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
DHL56307,Martin Boahen,"PSC 8065, Box 7664
APO AE 23696",andorfulandrew@example.com,+233503162752,Email,16261,App,SMS
DHL574025,Mark Agyemang,"251 Mensa Bridge
Amomouth, VI 95554",iyaamoa@example.org,0565496301,Email,62507,Website,Call
DHL512221,Kwasi Ofosu-Nti,"9989 Kusiwaa Prairie Suite 559
East Sarah, AZ 97137",ntweneboa@example.org,+233578240030,Call,97879,App,Email
DHL484909,Benjamin Ata,"PSC 5043, Box 4052
APO AE 89879",rawuah@example.com,+233571244841,Email,29261,App,SMS
DHL206891,Awura Patricia Ampofowaa,"USCGC Asenso
FPO AP 63105",josiah17@example.com,+233274755329,SMS,15259,Website,SMS
DHL594105,Ronald Gyamfi,"267 Gerald Hollow
Fosuton, AZ 95957",abafrema@example.com,0550593561,SMS,9259,App,Call
DHL897530,Francis Boakye,"90354 Amoako Square
Baawiaberg, CA 02467",elliotntim@example.net,0551040965,Email,68249,Website,Email
DHL975025,Isaac Karikari,"24145 Sarpong Forks
Wiafetown, AS 27973",gyamfidenis@example.com,0283886367,Email,65129,App,Email
DHL134316,Dr. Felicia Serwaa,"0141 Josh Port
Salomeyfurt, ID 23944",yadu@example.org,+233549114124,Call,59153,App,SMS
DHL773685,Sista Grace Akowua,"01828 Ansomaa Loaf Apt. 685
Kwesiland, NM 57890",wbaah@example.org,+233244072305,Call,7129,App,Call
DHL552024,Vida Aboraa,"770 William Road Suite 078
Giftystad, ND 92330",thomaskyei@example.net,+233553240346,Call,10366,App,Email
DHL537037,Owura Clifford Asamoa,"031 Prempeh Place
East Nigel, FM 19719",deborahkwarteng@example.org,+233203220064,SMS,52039,Website,Email
DHL86402,Sarah Ata-Okyere,"00652 Gyasi Park
South Felicia, TN 56727",ansaama@example.com,+233277133609,Email,29016,App,Call
DHL785175,Mrs. Lisa Ataa,"520 Otuo Pine
New Kwesiville, MN 60209",tom37@example.org,+233572719919,Call,76309,App,Email
DHL940462,Jill Nyaako,"30046 Anima Knolls
West Victoria, MP 39802",asantekarl@example.net,0243098342,Call,91458,App,SMS
DHL992428,Ruth Donkor,"8631 Jessica Plains
Akwesifurt, NM 20616",veronica22@example.com,+233565103702,SMS,83144,Website,SMS
DHL813087,Kujoe Otuo,"548 Boaten Islands
Kwekutown, UT 41730",thomas95@example.net,+233565848307,Call,43522,App,Email
DHL690908,Edward Danso,"USS Ankra
FPO AP 24616",akyenajanice@example.com,+233280214592,Email,43038,Website,Email
DHL543889,Mary Kusiwaa,"057 Dwamena Turnpike Apt. 225
Teresafurt, AK 88718",michaelfrimpomaa@example.net,0274884828,Call,49522,Website,Call
DHL833153,Jack Yirenkyi,"54583 Kwesi Fields Apt. 067
East Georgetown, AZ 70481",iasiedu@example.com,+233551590661,Email,45661,Website,Call
DHL745779,Miss Lydia Aboraa,"91796 Asante Radial Suite 263
Elliottmouth, TN 84849",denise79@example.net,0264095044,Email,99502,Website,Email
DHL524424,Sista Wendy Safo,"0965 Baa Way
Port Nicholasmouth, AS 31823",qotiwa@example.com,+233272521392,Call,83736,App,Email
DHL727865,Hannabel Akyeampong,"3869 Donald Springs Apt. 139
New Nathanton, AK 47308",carlamoako@example.org,+233543356517,Call,13113,Website,Call
DHL575219,Dorcas Tawia,"0208 Baafi Square
South Edwardland, ID 35010",ruth58@example.net,+233540739519,SMS,71703,Website,SMS
DHL213890,Patricia Ampofo-Nti,"89302 Kwadwo Mountain
East Sarahport, KS 49038",donkorannette@example.net,+233553636915,SMS,22751,Website,Email
