Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
GHA439284,Alexander Asare-Kusi,"0767 Timothy Lodge
New Rachel, UT 02940",dwamenajill@example.com,+233571866844,Email,53321,Website,Email
GHA361699,Denis Ampadu,"2289 Tawia Skyway Apt. 533
Port Jameschester, NM 25773",ampofomaria@example.org,0576761453,SMS,81063,Website,Email
GHA828933,Dr. Karl Bonsra,"PSC 1258, Box 3849
APO AA 84548",rachel80@example.org,+233278769648,Email,88405,App,Email
GHA772005,Dr. Jacob Duah,"841 Mensa Village Suite 988
Naomiburgh, VT 90735",malcolm47@example.net,0564132883,SMS,10433,Website,SMS
GHA735839,Osofo Maame Hannah Nyaakoaa,"975 Martin Orchard Suite 457
East Douglas, AS 43827",felicianyantakyi@example.net,0273919946,Email,48828,Website,Call
GHA990452,Constance Fofie,"407 Afoakwa Junctions Apt. 633
Harrietside, FM 10290",georgina35@example.com,0555621064,Call,37910,App,SMS
GHA967171,Agya Steven Safo,"7525 Colins Circles
North Janice, FM 66623",martin15@example.com,0244730437,SMS,29670,Website,SMS
GHA752018,Thomas Tweneboa,"PSC 4253, Box 4169
APO AE 24971",judithbaa@example.com,0542126831,Email,82679,App,Call
GHA796372,Owura Terence Badu,"199 Linda Creek Suite 929
West Kwasi, NV 08873",mensapatrick@example.net,0271704198,Email,56266,Website,Call
GHA518441,Julian Agyapong,"524 Kusi Throughway Apt. 043
East Vincent, KS 92082",emmaofosu@example.org,+233566458622,Email,32007,Website,SMS
GHA243272,Rita Kumi,"34122 Tutu Locks Suite 512
Akyeampomaabury, LA 06763",ydanso@example.com,+233544872271,SMS,21149,Website,SMS
GHA879095,Maame Elizabeth Mansa,"21624 Denise Extension Suite 722
West Julianabury, ND 52440",tweneboadeborah@example.com,0555192378,SMS,19340,App,SMS
GHA33443,Russell Karikari-Asante,"71286 Linda Plains Apt. 869
South Naomi, FL 17641",philip05@example.net,0285022054,Email,66890,Website,Email
GHA523532,Edward Acheampong,"15070 Kumi River
Port Paulton, AR 68004",awuahfiifi@example.org,+233248251339,Email,37065,App,SMS
GHA335337,Patricia Adutwum-Boakye,"254 Akwesi Terrace
Asareside, WY 49677",jgyasi@example.org,+233284574346,Email,49618,Website,Call
GHA126316,Steven Boakye,"5978 Akyena Haven Suite 314
North Lindaland, NY 97670",bakoaa@example.com,+233277931764,SMS,6773,Website,Call
GHA700264,Dr. Joe Anokye,"1829 Baafi Flats Apt. 300
Julianafort, MI 37140",prempehjake@example.com,+233561558335,Email,75939,App,Email
GHA151490,Sarah Tweneboa-Karikari,"699 Wendy Alley Apt. 761
Abrafiland, MI 49336",boadustephen@example.com,0509160722,SMS,62121,Website,Email
GHA856925,Alice Adusei,"2381 Kumi Parks Apt. 557
Tiwaaburgh, MI 23155",kyle49@example.com,+233244745867,SMS,52617,Website,Call
GHA676350,Adwoa Mensa-Gyasiwaa,"3665 Amo Locks Apt. 593
Kyeiland, NC 88652",kwame53@example.net,+233276768443,Call,83379,Website,Call
GHA811363,Gifty Obeng-Oti,"49813 Philip Greens Suite 613
North Nicolatown, WI 82675",hyeboa@example.com,+233276750114,Call,19580,App,SMS
GHA440757,Owura George Otiwa,"7572 Akyeamfuɔ Overpass
Lake Kevin, VT 40907",kkoomson@example.org,0505800442,SMS,44571,App,Email
GHA5945,Paula Fosu,"969 Kate Pine
Ahortorstad, NE 29050",alexanderagyei@example.com,+233560568041,Call,60253,Website,SMS
GHA367801,Afua Safo,"6386 Kwartemaa Falls Apt. 403
Ireneton, NJ 99379",priscilla32@example.net,+233578251432,Call,60468,Website,Email
GHA111057,Ms. Lucy Bonsu,"USCGC Fofie
FPO AA 71136",akos95@example.org,0563990839,Call,3715,App,Email
GHA367450,Douglas Yeboah,"51549 Ampadu Highway
Abrafiberg, LA 26864",wakyeampomaa@example.com,0578235948,SMS,5005,App,SMS
GHA409155,Maame Sheila Safo,"0671 Charles Divide Apt. 168
Adomakochester, IA 51647",kafirifa@example.net,+233266201785,SMS,13665,App,Call
GHA553779,Timothy Boaten,"2858 Boakye Expressway Suite 802
Port Dora, TN 79554",michaelakowua@example.net,0549018221,Call,33925,Website,Call
GHA943184,Paul Asenso,"6639 Kwarteng Ridge Apt. 095
Teresabury, UT 28808",kwekuwiafe@example.org,0561710856,Email,56174,App,SMS
GHA638799,Joojo Agyei-Akyena,"80554 Kwartemaa Orchard
Amoborough, CO 56212",jagyare@example.net,0550362901,SMS,79253,Website,Email
GHA914804,Miss Mary Adwubi,"833 Osei Route
Lake Kwame, TN 58516",lawrencia09@example.com,+233247873852,Call,69325,App,Email
GHA864745,Osofo Maame Akumaa Asante,"849 Rebecca Burgs
New Karenberg, PA 35085",abigail38@example.org,+233266691459,Call,56119,App,Email
GHA906342,Maame Dora Boatemaah,"PSC 9268, Box 3347
APO AP 84753",michelle18@example.org,0267784222,Email,62760,App,Call
GHA40242,Raymond Yirenkyi,"17960 Boakye Estate
Owusuhaven, WA 52335",leslienyaakoaa@example.org,+233287029889,SMS,13722,Website,SMS
GHA212057,Caroline Boatemaah,"056 Annette Viaduct Apt. 420
Darkoland, OR 75685",ruthansa@example.org,+233209004406,SMS,45579,App,Call
