Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
NAT308218,Duncan Amo,"63406 Ann Light Apt. 919
Agyapongfurt, HI 92376",wyaamoa@example.com,0274498720,Call,85685,Website,SMS
NAT619448,Bernard Prempeh,"0491 Ntim Points Suite 410
Ansaberg, DE 79277",eagyapong@example.com,+233206951809,SMS,3474,Website,Call
NAT787830,Tracy Kusi,"342 Marcus Orchard
South Dennisport, AR 01924",baaficharlotte@example.org,+233287026123,Email,88713,Website,SMS
NAT482025,Sarah Boateng,"91217 Donkor Mountain Suite 019
Port Jasonberg, PA 62441",akyeampomaaakwesi@example.net,0268313352,Call,34248,App,Call
NAT860349,Georgina Boatemaa,"858 Frederick Loop
Lake Hannahland, CA 08745",philipasamoah@example.com,0247682091,Call,40968,App,Call
NAT335347,Jonathan Oti-Donkor,"USCGC Boakye
FPO AP 83980",anthonyyirenkyi@example.org,+233508338487,Email,55085,App,SMS
NAT157334,Joanna Yeboah-Adwubi,"823 Hannabel Branch Suite 696
West Charlotte, AR 71885",rogerdanso@example.net,+233205020768,SMS,63645,Website,Call
NAT884295,Ben Gyamfi,"6301 Gyamfiaa Mills Apt. 088
Lake Helen, MH 37607",lawrencianyaako@example.com,+233574644589,Call,98685,App,Email
NAT425788,Mama Lydia Boatemaa,"179 Kwarteng Lane Suite 945
Samfort, NE 72655",basiedu@example.net,+233289973393,Call,65101,App,Call
NAT545765,Lydia Danso,"55389 Jennifer Track
Port Nathanshire, PR 90920",cakoaa@example.com,+233208288563,SMS,81767,Website,Call
NAT313544,Miss Lydia Gyamfiaa,"PSC 2347, Box 3212
APO AA 23997",cboaten@example.net,0201977475,Call,56687,Website,Email
NAT705677,Salomey Akyena,"Unit 4731 Box 9166
DPO AA 33798",boakyeadam@example.net,0249092905,SMS,16252,Website,Call
NAT511917,Akosua Appia-Danso,"727 Bona Path Suite 855
Baabaside, AS 48781",ibaa@example.org,+233575007714,Email,23525,Website,Call
NAT640896,Rebecca Awuah,"966 Oti Trail
East Akwesibury, PA 78075",amelia24@example.com,+233573133425,SMS,35209,App,Call
NAT161151,Terence Omani,"238 Kwaakye Place Suite 413
North Josephinehaven, MT 67902",arthurbaa@example.com,0289094860,Call,28263,App,SMS
NAT649552,Dr. Beatrice Appiah,"76163 Owusuwaa Vista
Asarebury, VA 37880",mandyasenso@example.net,+233275569242,Call,89881,Website,SMS
NAT919385,Akosua Adutwumwaa,"9939 Acheampong Mount
East Kyle, AS 28027",jonathanbaawia@example.com,0555123407,Call,40275,Website,Email
NAT526507,Agya Peter Nti,"712 David Forges Apt. 605
Nyaakobury, MH 88541",kyletiwaa@example.com,0275788222,Email,9933,Website,SMS
NAT930547,Dr. Josiah Wiafe,"359 Gordon Grove
New Phillip, OK 07461",hdaako@example.org,+233550300407,SMS,4856,App,Call
NAT844832,Owura Frank Prempeh,"PSC 8517, Box 7390
APO AP 81725",nicola83@example.com,+233553613470,SMS,96140,Website,SMS
NAT326208,Lawrence Bonsu,"9588 Nathan Centers
Fosushire, WI 50072",maureen05@example.org,0284426207,Call,94287,App,SMS
NAT395248,Osofo Maame Kate Serwaa,"7838 Tiwaa Dale
North Susan, PR 45687",rntim@example.com,0574431727,SMS,75395,Website,Email
NAT75365,Osofo Graham Ahortor,"7194 Akyaa Land Suite 600
West Helenberg, PA 35873",nigelafrakomaa@example.org,0575577759,Email,95596,App,Email
NAT476495,Gifty Antwi,"08524 Afoakwa Mission Suite 926
Agyapongstad, MS 08427",amberasiama@example.org,+233577929799,Call,48110,App,Call
NAT576327,Abigail Afirifa,"2101 Amoanimaa Radial
Joelbury, AL 58837",adutwumwaaemma@example.com,+233541621368,Call,66544,App,Call
NAT524458,Paul Afirifa,"116 Kenneth Greens
West Harry, WY 61454",harry03@example.net,+233279454463,SMS,14314,Website,Call
NAT464737,Rosemary Akowua,"43805 Asamoa Court
Otiland, KY 26176",marilyn93@example.com,+233282590281,Email,20082,Website,Email
NAT508027,Agya Kwasi Ansa,"USNV Otiwa
FPO AE 79611",fadutwum@example.org,+233274598718,SMS,77078,Website,SMS
NAT196861,Mathew Obeng,"5133 Boahen Corners
Barbarachester, KY 23154",appiahabena@example.net,0278095788,SMS,73502,App,Call
NAT946282,Graham Kwaakye-Gyamfi,"PSC 9586, Box 6830
APO AA 12152",steven35@example.net,+233249827557,SMS,34324,App,SMS
NAT628815,Susan Baa-Amoa,"2900 Vincent Key
Duahtown, MT 47906",boatengkwesi@example.net,+233504501482,Email,89037,Website,Call
NAT207116,Angela Kyerewaa,"534 Mary Trace
Markborough, NC 75715",russell28@example.com,+233541152646,Email,52865,Website,Email
NAT851437,Kyle Yirenkyi,"293 Adomah Ramp Suite 106
Joetown, WA 22959",comfortagyare@example.net,+233208154729,Call,90986,Website,Call
NAT534055,Debra Yaamoa,"Unit 6071 Box 1572
DPO AE 02626",casantewaa@example.com,+233249920338,SMS,81260,Website,Email
NAT21986,Margaret Afirifa,"64086 Duah Fords
Asamoahfurt, AL 48726",abona@example.org,+233248944057,Call,1034,Website,Call
NAT170862,Maame Karen Takyi,"30527 Awuah Burgs Suite 197
Obengbury, ID 27578",nkrumahemily@example.net,0555216712,Call,53749,App,SMS
NAT91026,Maame Salomey Ankra,"8288 Georgia Path Suite 219
West Jamesland, ME 98943",justinagyapong@example.net,0559725222,Call,45909,App,Email
NAT891667,Sista Abigail Asare,"6012 Amber Terrace
South Jason, MD 22789",janet23@example.net,+233245310763,Call,60484,App,Call
NAT490719,Charles Takyi,"2123 Carl Plain Suite 061
Port Malcolmton, IA 72865",eunice20@example.net,+233505329684,SMS,12351,Website,Call
NAT457325,Rita Antwi,"302 Victor Shoal
Susanton, AR 79406",patrick31@example.net,0267646594,Call,72472,Website,Call
NAT389027,Owura Kenneth Agyapong,"1980 Akosua Greens Apt. 400
Oppongborough, GU 28046",catherine07@example.org,+233205899841,Email,78368,Website,Call
NAT436674,Malcolm Ntim-Asare,"57526 Joshua Island Apt. 950
Lucyside, AR 60603",votiwa@example.org,+233555255792,SMS,91159,App,SMS
NAT24497,Fiifi Osei,"6673 Nkansa Common Suite 638
Port Jessica, UT 35706",akoaaoliver@example.org,0577327635,Call,62569,Website,Email
NAT597492,Albert Mensah,"8362 Patrick Plains
Lake Abigail, MP 28668",donaldakyeampong@example.com,+233566409446,Email,65950,App,SMS
NAT58735,Olivia Aboraa,"4859 Daako Orchard
South Janet, GU 46823",graham89@example.net,+233555021567,Email,35181,Website,SMS
NAT818085,Henry Gyasi,"PSC 6228, Box 3319
APO AA 09899",uboadu@example.com,0269401136,Email,41342,App,Email
NAT155170,Kwadwo Ankra,"81239 Elizabeth Avenue Apt. 601
Dorcasberg, MA 70727",ofosutina@example.com,0266051395,Email,28371,App,SMS
NAT510558,Eliabeth Asenso,"50051 Kumi Islands
East Phillipbury, MD 15684",martin81@example.org,+233277211043,Email,35488,Website,Call
NAT867251,Maame Jill Safoaa,"0106 Rebecca Fields Apt. 056
Stanleytown, FL 95784",isaac72@example.net,+233244664458,SMS,98982,Website,SMS
NAT583225,Maame Marian Adutwumwaa,"90664 Georgina Burgs Suite 936
Port Patrick, NC 75046",antwiedward@example.net,+233557058652,SMS,69110,App,Call
NAT3258,Rebecca Nkrumah,"5356 Oti Inlet Suite 302
North Francescachester, MT 98143",frankyaamoa@example.com,0546030942,Call,3336,Website,Email
NAT964496,Mr. Joojo Opoku,"1393 Kwarteng Burgs
Georgeview, MA 12752",foriwaageorge@example.com,0266482071,Email,38396,App,SMS
NAT882879,Hannabel Oppong,"67394 Mensa Greens
Akwasiton, NH 40661",otijill@example.com,+233509278306,Email,35810,App,Email
NAT413105,Caroline Adomah,"1628 Opoku Forge
Lake Sylviatown, FM 98334",ampomajustin@example.com,+233579352641,Call,18399,App,Call
NAT634725,Agya James Yaamoa,"836 Kwame Circles
Kyeistad, TX 26575",prempehcomfort@example.com,+233551882304,SMS,35710,App,SMS
NAT21798,Ama Boatemaah,"USNV Agyapong
FPO AP 39509",asiamajames@example.org,0546453210,Call,63165,Website,Call
NAT97163,Phillip Ansa,"198 Opuku Trail
Port Alexander, WI 26535",pansa@example.net,+233207209487,Email,89393,Website,Email
