Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
TRO314991,Denis Yeboa-Okyere,"70869 Dwamena Alley
Nkansamouth, NC 35372",frank72@example.net,0577442162,Call,59282,App,Email
TRO100944,Awura Emma Bonsu,"USNV Osei
FPO AP 76787",edward51@example.com,0547781585,SMS,60571,Website,Email
TRO957129,Victor Bonsra,"73386 Tiwaa Village Suite 046
Port Tinashire, PR 84772",fasiedu@example.net,+233506626663,SMS,4121,App,Email
TRO322993,Regina Ansomaa,"8899 Nkrumah Lake
Port Catherineland, MS 81006",francisakyaa@example.org,+233543476106,Call,57194,App,SMS
TRO224015,Catherine Osei,"307 Adu Roads
East Akoschester, OH 95016",joeopoku@example.com,0544608709,SMS,48993,Website,Call
TRO853973,Adrian Owusu,"2216 Olivia Keys
Fosuberg, PA 33930",ahortoredward@example.org,0274280543,SMS,41060,App,Call
TRO859439,Phillip Nkansa,"3923 Abena Mission
Ansomahside, IA 04797",barbarafofie@example.org,+233274300010,Call,91640,App,Email
TRO785480,Miss Mary Otuo,"779 Ampofowaa Haven Suite 927
West Joshborough, MN 30831",dasare@example.net,0544307563,SMS,41430,Website,Call
TRO511242,Bernard Okyere-Oppong,"7784 Donkor Estates
Rogerside, TN 58317",baafiifi@example.com,0280713316,Email,51519,App,SMS
TRO840805,Maame Sarah Kwaakyewaa,"6240 Stanley Causeway
East Mathewview, UT 05884",andorfulsharon@example.net,+233275279711,SMS,64254,Website,Email
TRO953158,Jill Yaamoa,"51747 Asiedu Lodge
Appiahview, KS 96262",yawsonantony@example.net,+233546433855,Email,96930,App,SMS
TRO819241,Maame Annette Agyapomaa,"6666 Amo Village
Lake Lydia, UT 43494",teresa41@example.org,0245792788,Call,85173,Website,Email
TRO788508,Simon Adusei,"88023 Aba Greens
North Malcolmville, KY 15683",atakyi@example.org,+233554250333,Call,48357,App,Call
TRO451022,Lucy Dufie,"36991 Margaret Meadow Apt. 837
Jeremyland, AL 67437",frank20@example.net,+233240171824,Email,56232,Website,Call
TRO819802,Nana Ama Agyapong,"405 Prempeh Oval Suite 848
Port Abaland, SD 55671",frankafrakomaa@example.com,+233242309389,Email,98257,App,SMS
TRO960686,Katherine Nkansah,"85305 Isaac Roads Suite 314
Kyeiberg, FM 96108",xomani@example.com,+233577645511,Email,33275,Website,SMS
TRO146742,Paula Fosu,"USS Ankra
FPO AE 29720",abonsu@example.org,0502293817,Email,49156,App,SMS
TRO642086,Steven Dwamena-Badu,"1817 Safoaa Drive
New Benstad, KS 88938",ootiwa@example.net,0500964653,Email,28467,App,Email
TRO179304,Rachel Adomako,"10909 Nathan Camp
Nkrumahberg, DE 24393",xkwaakye@example.net,0273352989,Email,2715,Website,SMS
TRO958502,Dr. Dorothy Pomaa,"950 Colins Dale
South Tonytown, WY 72788",gemmayaamoa@example.com,+233551818188,Email,24683,App,Call
TRO960845,Teresa Ataa,"28646 Francis Lock Suite 260
South Charlotte, ND 38460",uokyere@example.net,0247633714,Email,53560,App,SMS
TRO891243,Edward Agyapong,"53216 Ansomaa Springs
Ataland, NJ 99377",akwesi15@example.com,0564782254,Call,45981,Website,SMS
TRO762465,Tony Agyapong,"020 Philip Lake Apt. 986
Jessicabury, OR 93394",ernestina38@example.net,+233207695009,Email,55366,App,Call
TRO986277,Mrs. Debra Kyei,"321 Mathew Cliffs Apt. 786
South Tony, AR 56354",nyameakua@example.net,+233576656019,Email,65517,App,Email
TRO916115,Afua Baah-Nkansah,"172 Yaamoa Walk Suite 972
West Rebeccastad, VI 83170",asantewaajonathan@example.org,0557107163,Email,37017,Website,Call
TRO700214,Charles Daako,"227 Samantha Fort
Jasminechester, IN 18243",david26@example.org,0504005985,Email,8975,App,Call
TRO362096,Akua Oti,"10928 Naomi Garden
Cliffordtown, AL 30323",tweneboadonald@example.org,+233567529509,SMS,12553,Website,Call
TRO726009,Rebecca Amoanimaa,"9998 Mensah Plains
Gracemouth, MS 84763",phillip06@example.net,0260944026,Call,13726,App,SMS
TRO256455,Maame Denise Yeboa,"1513 Beatrice Coves Suite 051
Baahburgh, MI 43288",stanley61@example.net,+233506359118,Call,69568,Website,Call
TRO402686,Dr. Akos Akoaa,"83096 Robert Path
Asanteland, IN 94442",joojo46@example.org,0264057009,Email,11484,App,Call
TRO42255,Akosua Ankra,"95927 Dennis Groves Apt. 272
Jeffreyside, SC 33212",kwame36@example.org,0549025792,Email,72352,App,SMS
TRO933019,Agya Colins Akoto,"3457 Marian Terrace Apt. 035
New Oliviachester, DE 45454",kkwaakye@example.com,0282703937,Call,77016,Website,SMS
TRO308424,Akumaa Akyerεko,"USS Agyemang
FPO AE 01120",cakyereko@example.com,0288025327,SMS,85994,Website,Email
TRO113969,Dr. Karen Agyare,"850 Antwi Shoal Suite 686
East Johntown, PA 83786",ontiamoa@example.com,+233505095319,Email,95709,App,Email
TRO957619,Jason Gyamfi,"1028 Jessica Spurs Apt. 236
Yaamoamouth, ID 18297",baawiajoel@example.net,+233547730654,SMS,59454,Website,Call
TRO307862,Frank Donkor,"29181 Alexander Key Suite 108
North Gregory, VT 63359",kwameamponsah@example.com,0249307621,Call,33640,Website,Email
TRO457214,William Oppong,"3382 Annette Turnpike Apt. 976
Nimakoahfort, NM 19922",boahenpaul@example.net,+233274179494,SMS,29671,App,Email
TRO568336,Arthur Nkrumah,"668 Antwi Plaza Suite 919
Roselynfort, CT 50001",aagyeiwaa@example.org,0264584320,Call,96214,Website,SMS
TRO204887,Agya Matthew Fofie,"877 Patricia Stream
Ernestinafort, PW 63840",sarahagyemang@example.net,0554115006,Call,83264,Website,SMS
TRO236938,Rosemary Baa,"02692 Safo Villages
Lake Alexton, GA 64912",abeiku83@example.net,0264776678,SMS,2469,Website,Call
TRO69296,Kwame Akyeampong,"0084 Grace Ferry
Foriwaabury, OK 29494",danielle53@example.net,+233502068971,SMS,45777,Website,Email
TRO576516,Wendy Mensah,"382 Dora Harbors Apt. 294
Akoaachester, GA 07301",christian34@example.com,0553472073,SMS,35493,Website,Call
TRO657554,Andrew Asamoa,"USS Awuah
FPO AA 29027",ctutu@example.com,+233281490347,Call,7325,Website,SMS
TRO959415,Georgina Nyaako,"35257 Akyerεko Plains Apt. 151
South Barbaraville, MP 35458",vamoanimaa@example.com,+233244553122,Email,4945,Website,Call
TRO986423,Osofo Kofi Boateng,"4400 Adam Plain Apt. 258
East Alex, DC 87040",denisefofie@example.com,0282260322,Call,98256,Website,SMS
TRO921496,Osofo Danny Bonsra,"0369 Rosemary Roads Apt. 033
Lake Julia, NH 47027",jake50@example.com,+233556000095,SMS,13082,App,Call
TRO808577,Victoria Kwaakye,"39724 Isaac Squares Suite 262
Aduseibury, MN 15332",william13@example.com,+233501745815,Email,92596,App,SMS
TRO846851,Sam Ampofo,"6347 Adutwum Terrace
Port Kevin, PA 91737",dsafoaa@example.org,+233288996442,Call,21455,App,Call
TRO12,Nathan Nyame,"7106 Vida Mills
East Baabamouth, WI 94011",uoppong@example.net,+233505470023,Email,35127,Website,Call
TRO612120,Julian Omani,"64056 Benjamin Flat Suite 004
Port Nicola, TN 55680",fofiedenis@example.org,0266511231,Email,25833,Website,SMS
TRO646330,Dennis Boahen,"PSC 6692, Box 1098
APO AA 70137",agyapomaaeliabeth@example.net,0240974555,SMS,23034,Website,Call
TRO436556,Thomas Nti-Mensah,"114 Julia Circle Suite 623
Kusiwaatown, TN 64418",uquartey@example.net,0246243947,Call,11240,Website,Email
TRO777101,Paula Otuo,"72157 COmfort Crossroad Apt. 560
West Karl, RI 40105",vincenttutu@example.org,+233556080712,Email,34261,App,Call
TRO433792,Mary Owusu,"2167 Omani Ports
North Danielle, OK 27913",pboadi@example.com,+233288830724,SMS,56772,App,Email
TRO268388,Fiifi Sarpong,"88323 Afirifa Drives Apt. 133
New Lindastad, VT 18587",abigailtawia@example.net,0246819204,SMS,31875,App,SMS
TRO780379,Harry Bonsu,"3124 Akwasi Course Apt. 471
North Akostown, LA 91280",comfortoti@example.com,+233559209063,Call,79428,Website,Email
TRO63381,Samuel Baafi,"732 Frema Trace Apt. 653
Yirenkyiburgh, CT 51984",acheampongconstance@example.net,+233288288335,SMS,92601,App,Call
TRO156217,Maame Francesca Ansomaa,"23479 Gyasi Valleys
Emilyfort, KS 40361",terence92@example.org,+233286422399,SMS,7156,App,Call
TRO536598,Miss Julia Nyaako,"504 Asamoah Land
North Howardburgh, MH 94348",awesiadomako@example.net,0288102989,Email,53404,App,Email
TRO511872,Caroline Opuku,"46378 Caroline Fort
West Regina, VI 42550",amohenry@example.com,+233557987354,SMS,39858,Website,Call
TRO831651,Ms. Ernestina Appia,"313 Katherine Plains Suite 259
Port Frederick, VI 31326",alexander09@example.org,0272519822,Call,54119,Website,Call
TRO659743,Awura Tracy Mensah,"29062 Nkansa Branch Apt. 530
Joshstad, VA 22119",richardkyeiwaa@example.org,+233245820274,SMS,88051,App,Email
TRO392066,Linda Asante,"19383 Nti Run
Lake Yaw, MH 39323",ronaldasiama@example.org,+233552235299,SMS,59026,App,Email
TRO97645,Elizabeth Fofie,"4677 Amoako Common Suite 163
Julianashire, NE 68803",tweneboaemily@example.org,+233208590343,SMS,8994,App,Call
TRO850238,Adrian Nkrumah,"03577 Sam Vista
New Amandafort, TX 24693",adwoaasantewaa@example.net,+233260473289,Call,44903,App,Email
TRO743306,Phillip Asante,"8432 Andorful Crossing Apt. 594
East Nicola, WV 83341",joyce29@example.org,+233202294923,SMS,36760,App,Call
TRO89062,Maame Ama Boaten,"469 Nana Ama Ferry
South Katherineburgh, DC 98642",jacob52@example.com,+233207766032,SMS,78571,App,Email
TRO193685,Simon Andorful,"9819 Osei Field
New Harriet, VT 87469",abenaaboraa@example.org,0543178284,SMS,84286,App,Email
TRO674238,Agya Joseph Akyeampong,"484 Kweku Centers Suite 855
Juliastad, PW 71595",vopuku@example.com,+233509831652,Call,70887,Website,Call
TRO656690,Afua Kumi,"6716 Tiwaa Pine
Sharonfurt, VA 59423",fboaten@example.org,+233264473800,Email,8631,Website,SMS
TRO544120,Mary Gyasi,"9404 Raymond Plaza
Port Janet, ND 68433",thomas53@example.net,0572902609,Call,95889,Website,SMS
TRO980000,David Agyemang-Boateng,"8420 Sam Fort Apt. 550
South Elizabeth, KY 91683",amoasirosemary@example.net,0285334529,Email,23927,Website,Email
TRO536877,Miss Ama Appiah,"707 Philip Ways Apt. 284
Safoburgh, TN 63438",hsafo@example.org,+233274098998,Call,26938,Website,Email
TRO280279,Louis Amoako,"78492 Harry Lights
Janetstad, MO 72247",irenewiafe@example.org,0556606319,Call,99066,Website,SMS
TRO721808,Rachael Tiwaa,"PSC 0616, Box 6485
APO AP 15760",joycetutu@example.com,0546100862,Call,58946,App,Call
TRO74349,Gregory Akyerεko,"718 Boakye Turnpike
Karenville, UT 25560",rduah@example.net,+233268705212,SMS,13905,App,Email
TRO228013,Margaret Quartey,"89883 Martin Knoll Suite 622
Asensotown, DC 35091",bboadu@example.org,0573931525,Email,24916,App,SMS
TRO110955,Agya Albert Koomson,"4540 Baafi Meadow
East Emilychester, DE 05053",joseph77@example.org,0243498884,Email,74745,App,Call
TRO281389,Rosemary Otiwa,"23542 Gyasiwaa Isle
Antwiberg, NJ 04228",akua24@example.org,+233550502024,Call,81853,App,Call
TRO15042,Felicia Nyame-Ampofowaa,"6418 Steven Ferry Suite 199
South Denis, MO 15593",brucebona@example.org,+233553808220,Email,9585,App,Call
TRO186262,Edward Agyemang,"3246 Elliot Mountain Apt. 328
East Malcolm, CA 70890",damo@example.org,+233505814309,Email,75761,Website,SMS
TRO269101,Beatrice Yeboah,"256 Ampofo Mountains Apt. 581
Asamoahmouth, FM 02560",nyantakyiemily@example.net,0285592762,SMS,18310,Website,Call
TRO301948,Peter Darko,"8318 Adusei Keys Suite 636
Andorfulfurt, FL 50554",kata@example.org,0265222961,SMS,44886,App,Email
TRO924667,Osofo Clifford Sarpong,"4301 Aaron Meadows
South Vidaberg, NC 23480",max04@example.net,0276665430,SMS,14582,Website,SMS
TRO716790,Wendy Kwaakye-Ansa,"51475 George Cape
Ansomahside, MH 60470",anokyecharlotte@example.net,+233570371651,SMS,26032,App,Call
TRO69085,Dr. Mathew Dwamena,"58291 Martin Vista Apt. 606
North Emilyberg, WY 46248",samuel88@example.com,0261133087,Call,42359,App,Call
TRO37023,Marcus Tutu,"USS Baafi
FPO AE 66527",adomahakosua@example.com,0500996601,Email,19980,Website,SMS
TRO601643,Mr. Eric Boahen,"17376 Regina Square
New Robert, WA 63173",natalie26@example.net,+233240544897,Call,32723,App,Email
TRO491367,Maame Julie Adomah,"3950 Samantha Park Apt. 145
Akyeampomaashire, AR 94222",akomaaabeiku@example.net,+233244604715,Call,15830,Website,Call
TRO595942,Abeiku Sarpong,"7624 Emily Harbors Apt. 250
Oliverburgh, TX 71453",akyeamfuoben@example.net,+233249924431,Call,16389,App,Call
TRO167027,Osofo James Oppong,"44413 Akoaa Shoal Suite 736
Boahentown, GU 15071",kweku43@example.com,0205534151,Call,55321,App,Email
TRO228777,Katy Omani,"965 Yeboa Islands
West Nicholasmouth, MN 59089",akwesi47@example.net,+233202335126,Email,94913,Website,Email
TRO44746,Adam Safo-Kwaakye,"4339 Ansa Vista Suite 506
East Phillip, NE 06039",wiafedouglas@example.net,0248675901,Email,95057,App,Call
TRO98478,Charlotte Nkrumah,"3535 Simon Ports
Frederickmouth, NC 85695",gracetiwaa@example.net,+233573187589,Email,84469,Website,Email
TRO532196,Jasmine Asenso,"76114 Ampoma Harbors
South Johnside, GU 73959",danielle39@example.com,0206885720,Email,68443,App,SMS
TRO567739,Clifford Yeboa,"USS Akyena
FPO AP 72802",nawuah@example.net,+233203399874,Call,5187,App,SMS
TRO666021,Yaw Ata,"71507 Julie Brook Apt. 084
Agyapongmouth, WA 50552",janet27@example.org,0240517874,Call,9123,Website,Email
TRO948691,Jonathan Baafi,"64356 Ansomah Trafficway Suite 469
Julianland, AR 36857",priscilla83@example.org,+233242803877,Email,92117,Website,SMS
TRO352587,Gemma Okyere,"76671 Adwoa Neck
North Henrybury, CA 39859",nicholas45@example.net,0577181583,Call,93064,App,SMS
TRO75225,Sarah Adoma,"PSC 5511, Box 0770
APO AE 61352",xtakyi@example.com,0544841849,Call,2968,App,SMS
TRO388982,Howard Asamoah,"PSC 1151, Box 6192
APO AP 58767",myeboah@example.org,+233249845408,Email,20402,App,Email
TRO145362,Awura Samantha Amponsa,"1002 Donald Creek
West Dorothyhaven, SD 52685",pamelankansah@example.com,0558866671,SMS,69782,App,Call
TRO468065,Osofo Maame Josephine Boateng,"09468 Bruce Plaza Suite 443
New Sarah, SD 41326",nigelakowua@example.net,0205039956,Call,32300,Website,SMS
TRO227382,Sandra Yawson,"84658 Tom Shoal Apt. 913
East Hannabel, AL 56348",sam49@example.org,+233544987840,Call,52756,Website,Call
TRO661506,Margaret Amponsa-Yirenkyi,"888 Adomako Trail
Christianmouth, GU 69234",xobeng@example.org,0553304445,Email,69909,Website,SMS
TRO640935,John Akyeampong,"6292 Natalie Knoll Apt. 235
Joojoborough, VA 96611",vdonkor@example.net,0500952600,SMS,13878,App,SMS
TRO315501,Russell Baafi,"PSC 8408, Box 4934
APO AP 31654",oliviayeboa@example.net,0272314297,SMS,55445,App,SMS
TRO668505,Felicia Anokye,"8115 Rachael Dam
Agyareview, MS 80318",akyerekoderrick@example.net,0505874455,Call,57716,Website,Email
TRO784061,Jack Antwi,"530 Gordon Wall
Georgiachester, IA 60015",salomeydonkor@example.org,0576457994,SMS,88779,App,Call
TRO114721,Dr. Danny Boateng,"22141 Nyantakyi Junction Apt. 303
Ampofoton, AL 68118",donkorakosua@example.com,+233571977063,SMS,12765,Website,SMS
TRO280831,Owura Paul Ampadu,"8181 Olivia Mission
Dannyland, NJ 47950",boaduvanessa@example.com,+233200564718,Call,38414,Website,SMS
TRO556040,Judith Fofie,"31467 Pomaa Forge
Acheampongton, IA 29154",manokye@example.net,0274515970,Email,48216,Website,SMS
TRO817437,Terence Karikari,"59636 Amanda Trail
New Constanceburgh, FL 34375",nsiacaroline@example.net,+233264920897,Call,77207,Website,Call
TRO87255,Arthur Ntim,"12088 Ntiamoa Canyon Suite 295
Jamesland, TN 69313",gyasiwaahoward@example.org,+233284865647,SMS,36957,Website,SMS
TRO88100,Mary Agyemang-Agyare,"4159 Wiafe Stream Suite 447
Luketon, FM 73448",tom33@example.org,0507917021,Email,25425,App,SMS
TRO629565,Mr. Steven Yeboa,"637 Rebecca Harbors
Port Francescatown, SD 61242",totiwa@example.org,0246758746,Email,58605,App,Email
TRO423001,Isaac Prempeh-Asamoah,"72916 Steven Spurs Suite 695
West Tina, OK 58388",baawiaamber@example.org,+233568409279,Call,59576,Website,Email
TRO537863,Nathan Agyei,"USS Oppong
FPO AP 94842",sata@example.com,0266977377,Call,82569,App,SMS
TRO344474,Sista Susan Okyere,"2450 Baafi Spurs Suite 455
Port Natalie, ME 04565",ampofonana-ama@example.com,0280117160,Email,41910,Website,Email
TRO776472,Owura Dominic Otuo,"87576 Veronica Port Suite 293
Deniseview, AK 60770",oakyeamfuo@example.com,+233264747734,Email,27430,App,Email
TRO376380,Sista Sarah Bona,"2488 Boahen Oval Suite 766
West Nana Amafurt, WA 52030",asensoabena@example.com,0249853740,SMS,23002,Website,Call
TRO472706,Maame Akua Gyamfi,"783 Adomah Forks
Abrafiside, MA 90165",agyeijonathan@example.org,0275404649,SMS,10950,Website,Email
TRO627261,Grace Fosu,"628 Jennifer Pines Apt. 263
Markstad, WA 63004",roselynowusu@example.net,+233278837616,Email,66470,Website,SMS
TRO456106,Dennis Amoasi,"750 Kusi Freeway
East COmfort, AK 31333",gyasiwaagrace@example.org,+233506846954,Call,28697,Website,Call
TRO898461,Osofo Maame Jasmine Nyaakoaa,"935 Ampadu Road Apt. 337
Sarpongberg, GU 01582",yosei@example.net,+233504829017,Call,41802,Website,Call
