Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
WIL682696,Mrs. Catherine Akoto,"PSC 2665, Box 4444
APO AA 58589",ampomapatrick@example.com,+233266854792,Call,66568,App,Email
WIL97676,Elliott Boadu,"629 Tweneboa Flats
Veronicashire, GU 49823",graceamoa@example.org,0274436047,Call,72382,App,Call
WIL658259,Rosemary Akyaa-Adwubi,"5612 Teresa Estate Apt. 671
West Joshuahaven, MD 23762",luke00@example.net,0570784727,SMS,81444,Website,Email
WIL403862,Owura Kwaku Agyei,"4088 Mensah Green Apt. 974
Adwoafort, NV 93855",charlotteowusu@example.net,0263325341,Call,13273,Website,SMS
WIL796666,Owura Max Mensah,"USNV Obeng
FPO AP 33796",ekwaakye@example.com,+233502826845,Email,15892,App,Call
WIL486890,Nathan Nyame,"7658 Akyerε Greens Apt. 918
East Maria, TX 10693",nyaakomarcus@example.com,+233289280653,Email,51618,Website,Call
WIL836492,Miss Vanessa Tiwaa,"625 Boadu Lakes
West Josiahbury, VI 01232",kwasidanso@example.org,+233203572007,Email,28488,App,Call
WIL795736,Jeffrey Boaten,"40274 Opuku Ferry
New Esiport, DC 26739",darkoedward@example.net,0552462492,Call,99590,App,SMS
WIL305528,Kevin Donkor,"0721 Opuku Points
Naomifort, PA 09297",samasante@example.net,+233544831153,Call,4188,Website,Call
WIL428105,Susan Afoakwa,"2296 Adwubi Ports Apt. 134
West Max, NJ 15903",mowusu@example.net,+233549395286,Call,98152,App,Email
WIL600925,Osofo Maame Yvonne Gyamfi,"57268 Antwi Lodge Suite 428
West Justin, MI 93398",mtwumasi@example.com,+233572776966,Call,38471,Website,Call
WIL845844,Sista Lydia Baafi,"78462 Mansa Pike Apt. 973
New Jacob, MO 48250",graham62@example.net,0281733471,Email,34021,Website,Email
WIL282839,Howard Asenso-Nkansa,"49689 Amponsah Islands Suite 457
West Katherine, NE 01279",malcolm67@example.com,+233241614623,SMS,71873,App,SMS
WIL376217,Linda Kwarteng-Pomaa,"400 Takyi Square Suite 318
New Comfortmouth, DE 04204",edwardadwubi@example.net,0204464021,SMS,87191,Website,Call
WIL343537,Emily Gyamfi,"USS Kusi
FPO AE 83692",ahortorakua@example.net,+233559402871,Email,86470,Website,Call
WIL791225,Graham Tweneboa,"968 Alex Prairie
Lake Luke, NC 85518",zampoma@example.org,0578595038,SMS,75200,Website,Email
WIL291636,Mama Irene Akyeampong,"406 Leslie Hills
Gyamfiaaville, MT 77655",psafoaa@example.com,0552811368,Email,72630,App,SMS
WIL45179,Janice Karikari,"55095 Karikari Coves Suite 381
South Katyfort, KS 51926",rosemaryasiama@example.net,+233278049309,Email,46217,App,SMS
WIL209804,Emma Donkor,"78633 Thomas Street Apt. 587
Amoaton, WA 02963",john63@example.com,0286077144,Call,21215,App,Email
WIL88595,Akwesi Awuah,"05621 Victor Stravenue Apt. 584
West Nathan, NM 09821",lnyaako@example.net,0246205301,Call,26209,Website,Email
WIL410705,Mark Twumasi-Boahen,"1786 Lucy Circles Apt. 381
Lake Julie, FL 68492",akosampofo@example.com,+233246771877,SMS,82097,App,Email
WIL500654,Joe Duah,"96428 Antwi Park Apt. 942
Isaacfurt, TN 17341",susanokyere@example.org,+233508761417,SMS,28681,Website,Call
WIL552148,Rosemary Twumasi,"9933 Abeiku Plain
South Catherineton, MI 68510",jackowusu@example.net,0573409683,Call,97901,Website,SMS
WIL161378,Olivia Ahortor,"0860 Jack Knoll Apt. 173
Amostad, VA 90227",comfort21@example.com,0572051454,Call,83748,Website,Call
WIL875096,Alex Wiafe,"421 Judith Court
South Fiifi, MS 75220",mark17@example.org,+233573192906,SMS,73270,Website,Call
WIL905827,Awura Lawrencia Foriwaa,"029 Martin Springs
New Oliver, IL 41649",boakyejoe@example.org,+233282504969,Email,44256,App,SMS
WIL994727,Esi Otuo-Ampadu,"9509 Karikari Mountains Apt. 655
Lake Adwoa, RI 93485",amoanimaamillicent@example.com,0509558921,SMS,45713,App,SMS
WIL56603,Hannah Boatemaa,"74506 Amoa Village
Kyeishire, ND 04304",asiedufelicia@example.org,+233268623498,SMS,58578,Website,Email
WIL36290,Jack Nyame,"1565 Afia Path
Kwasiton, IN 89433",nataliebadu@example.org,+233508125948,Call,27215,Website,SMS
WIL51756,Mama Elizabeth Amoako,"846 Okyere Squares
Baaview, SC 81325",amoasikevin@example.com,+233206423120,SMS,88043,App,Email
WIL685738,Jeremy Boadu,"04313 Bona Square Suite 442
West Donaldberg, NE 13582",victorbaafi@example.net,+233271234748,Email,39111,App,SMS
WIL21809,Paula Tutu,"70860 Jacob Road Suite 438
Port Denis, NM 87946",hannahokyere@example.com,+233247377948,Call,82829,App,SMS
WIL592685,Awura Sarah Kwarteng,"61929 Fofie Stravenue Apt. 428
Kevinmouth, PR 95657",dorcas59@example.net,0267936025,Email,15843,App,Email
WIL150160,Teresa Akowua-Pomaa,"89187 Kwaakye Port
New Priscillaland, FM 62142",karikariclifford@example.net,0265210330,SMS,28921,Website,SMS
WIL187489,Sista Eliabeth Safoaa,"13684 Nsia Stream Suite 816
Gyasimouth, OH 63496",duncanantwi@example.org,0200724092,SMS,96078,App,SMS
WIL320370,Christina Awuah,"627 Boakyewaa Lane Apt. 448
Lake Maxshire, SC 26151",lydia34@example.com,0540149192,Call,96499,App,Email
WIL632057,Dr. Vanessa Agyapong,"132 Naomi Drives
Euniceport, RI 87738",kmensa@example.net,0286922986,Email,52746,Website,Call
WIL867021,Comfort Yeboah,"847 Roger Curve
New Nigelland, MA 16686",marcusamoasi@example.com,0275838127,Email,57071,App,SMS
WIL366411,Katy Boahen,"85955 Kusi Trail Apt. 627
North Dominic, RI 02425",julianamansa@example.org,+233201598210,Call,90088,Website,Email
WIL111465,Josephine Foriwaa-Oppong,"PSC 5505, Box 7735
APO AP 66718",sharonboadu@example.org,+233247721023,Call,59772,Website,Email
WIL629969,Annette Agyapong,"5143 Omani Alley
North Timothyhaven, IA 03328",ann92@example.org,+233241398785,Email,96519,Website,SMS
WIL50977,Susan Adutwumwaa,"69589 Ansomaa Turnpike
Nyaakoaabury, SC 82046",timothy93@example.net,0273925477,Call,46777,Website,Call
WIL643440,James Agyapong,"74742 Safo Oval
West Louis, FL 23573",kyeimartin@example.com,+233276060271,Call,66616,App,Email
WIL776745,Aba Nyantakyi,"338 Boatemaa Squares Suite 746
East Beatriceburgh, DC 21890",ekow43@example.org,0263586750,SMS,32433,App,Email
WIL620427,Peter Ansa,"Unit 3094 Box 8593
DPO AE 12225",sarah68@example.net,+233275676480,Call,52445,Website,Email
WIL12751,Jasmine Asamoa,"2715 Tony Drives
West Martinborough, CO 33206",george18@example.org,0266341577,SMS,32566,Website,Email
WIL313005,Aba Amponsa-Tiwaa,"6737 Nkansa Forges Suite 579
Yawsonmouth, NM 50049",asiedugemma@example.com,0557320812,Email,93019,Website,Call
WIL287577,Mama Amanda Yeboah,"40315 Constance Haven Apt. 959
Joycehaven, CA 84854",mofori@example.com,+233262027803,SMS,46445,Website,Email
WIL493539,Linda Yawson,"3012 Justin Landing
Elliotthaven, LA 90616",hannabel64@example.org,0569623587,SMS,82293,App,Email
WIL883544,Charlotte Adusei,"1528 Grace Groves Apt. 987
Lake Mathew, TX 06597",henry48@example.com,0561810337,SMS,56490,Website,Email
WIL184571,Olivia Acheampong,"7971 Antwi Station
Port Marcusfort, KY 13006",salomey32@example.org,0500122724,SMS,13942,App,Call
WIL423899,Josephine Kusi,"654 Philip Knolls
West Dorothyland, MO 80401",aabrafi@example.net,0260267148,Call,97936,App,Call
WIL433717,Debra Adu,"1548 Danielle Dam
Ofosuview, PR 72715",ansaabeiku@example.net,+233286755602,SMS,88991,App,Email
WIL463045,Lorraine Anokye,"6848 Yeboah Gateway
Boahenville, CO 73356",comfort85@example.com,0559452348,Call,7547,App,Call
WIL740607,Owura George Gyamfi,"1953 Adomah Union Apt. 811
Akowuafurt, KS 60852",gyamfisimon@example.com,+233277590214,SMS,60899,App,Call
WIL473731,Maame Christina Otiwa,"132 Oti Rue Apt. 677
New Joojoville, NJ 72096",susan05@example.net,+233207721414,Email,3046,App,Email
WIL17309,Agya Isaac Adomako,"332 Gemma Causeway
Julianatown, AS 65850",stephen09@example.org,+233560046033,Email,62469,Website,Call
WIL662044,Kwame Acheampong,"18856 Elliot Motorway
Olivertown, PW 19975",russellotiwa@example.net,+233241786177,SMS,37840,App,SMS
