Customer ID,Name,Address,Email,Telephone,Contact Preference,Transaction Activity,Customer Preference,Communication Method
ZON491571,Anthony Nkansa,"274 Agyemang Well Suite 447
East Bernardstad, MN 14062",jill27@example.net,0248084150,Call,28969,Website,SMS
ZON129295,Osofo Joojo Nkansah,"27368 Charles Manors Apt. 864
South Joelville, PA 46531",gmensa@example.com,+233269355057,Call,18073,Website,Call
ZON227513,Roselyn Amoako,"PSC 5657, Box 0204
APO AA 16349",yeboahelliott@example.net,+233502271168,Email,34426,Website,Email
ZON804303,Maame Jessica Asiama,"6688 Ruth Dam Apt. 480
Lake Alexbury, CT 09443",cgyasi@example.org,+233269447803,Email,16196,App,Call
ZON591854,Owura Shaun Bonsra,"659 Mary Harbor
Lake Sarahview, DC 54796",rebeccantiamoa@example.net,0547084378,Call,6730,Website,SMS
ZON606195,Paul Twumasi,"360 Baafi Mount Suite 189
Akyeampomaaport, RI 77140",abenaakoto@example.net,+233509272695,Call,31179,App,Call
ZON3396,Sista Janet Donkor,"5194 Akowua Burg Apt. 537
Joshuaberg, ME 02241",patriciaakowua@example.org,0262663809,Email,2793,Website,Email
ZON603756,Kwame Kumi,"99925 Otuo Squares Apt. 945
Michelleview, PW 46186",awuahbaaba@example.org,0559271061,SMS,95906,App,Email
ZON756942,Justin Agyei,"4815 Takyi Views Suite 682
Joycestad, MT 32352",akowuarebecca@example.org,0559694094,Email,90974,App,SMS
ZON296745,Russell Ampadu,"3195 Julia Ranch
Ekowtown, AZ 89201",kyeipeter@example.com,0240025034,SMS,37568,Website,SMS
ZON631721,Deborah Anokye,"0006 Kwarteng Island Suite 068
Boahenfurt, AK 21161",yaa26@example.net,0505669561,Email,33680,App,Email
ZON212687,Janet Donkor,"43990 Foriwaa Mountain
Benbury, OK 77794",akua89@example.com,0574968895,SMS,14258,App,SMS
ZON318550,Pamela Kwaakye,"1480 Bona Course
Dorcasburgh, CT 50167",julia12@example.net,+233543980599,SMS,38314,App,SMS
ZON764631,Josiah Gyamfi,"7589 Akowua Corner
North Michaelmouth, LA 26667",afrakomaagifty@example.org,+233570836063,SMS,36912,App,Email
ZON971368,Pamela Amo-Nkrumah,"USNV Dwamena
FPO AA 29340",barbarabadu@example.net,0502102621,Email,7563,App,SMS
ZON963933,Charles Ntiamoa,"PSC 6086, Box 9418
APO AE 17296",sarpongfrederick@example.org,0245166778,SMS,55577,Website,Email
ZON775563,Josephine Akyaa-Pomaa,"744 Janet Cape
Kumiland, SC 42557",fosuajosiah@example.org,0505105379,SMS,29234,App,SMS
ZON291334,Awura Stephanie Antwi,"740 Patricia Ford
West Olivia, NH 20277",jonathankumi@example.org,+233200466791,Email,6859,App,SMS
ZON602716,Mr. Vincent Baafi,"1460 Lawrencia Brooks
Nimakoahmouth, NE 08930",jeremy56@example.org,0564696521,SMS,35769,App,Email
ZON804869,Joshua Akyeamfuɔ,"67445 Harriet Fall
Ansaberg, IN 95677",nyantakyiruth@example.net,+233261498277,Email,57350,Website,Email
ZON769472,Rosemary Oppong,"465 Elliot Glen
North Howardberg, KY 61609",tracybadu@example.net,0277455239,SMS,14330,Website,Call
ZON127735,Jill Donkor,"674 Oppong Plain
South Vidaland, MT 81898",gemma00@example.net,0542368252,SMS,31437,App,SMS
ZON812738,Sista Samantha Badu,"14050 Gemma Plaza
East Howard, GA 21479",myirenkyi@example.org,+233561841287,Email,65020,Website,Email
ZON493897,Julia Ampofowaa,"32447 Tutu Springs Suite 030
Sandramouth, OR 76919",lucy53@example.com,0564920108,Call,82512,App,Email
ZON814513,Alice Oppong-Ampoma,"USS Boakye
FPO AE 67904",kwasisafoaa@example.com,0282664320,Email,82426,Website,SMS
ZON254273,Charlotte Foriwaa,"722 Alexander Shores
West Nathan, TX 08177",lorraine77@example.org,0272749828,SMS,68701,Website,Call
ZON89598,Sharon Boadu,"853 Adomako Shore
West Charlesstad, OH 73995",sam91@example.org,+233506644034,Email,67206,App,Call
ZON800621,Juliana Amponsa,"690 Janet Glens Suite 378
Prempehfort, CA 41911",ann27@example.org,+233201118351,SMS,94641,App,Call
ZON177020,Dr. Terence Quartey,"Unit 4207 Box 1720
DPO AA 78786",patricianyaakoaa@example.org,+233544921705,Email,54387,Website,Call
ZON154646,Sarah Adutwumwaa-Mensa,"06569 Martin Crescent
West Gemma, WV 92742",salomey86@example.net,+233555447748,Email,46737,App,Email
ZON614871,Regina Antwi,"89300 Sarah Common
Port Malcolm, MO 06513",kwame05@example.org,0265338002,Email,93793,App,Call
ZON702922,Colins Asare,"92685 Baah Inlet
Kyeistad, WY 21489",margaretamo@example.org,+233555973673,SMS,11594,Website,Email
ZON130616,Dr. Comfort Nkrumah,"PSC 0171, Box 7144
APO AP 37789",phillipappia@example.org,0205490399,Call,53252,App,Email
ZON129186,Ms. Akua Kyerewaa,"5932 Ann Vista Apt. 723
Kwaakyemouth, ME 25647",ykwarteng@example.com,0553683604,Call,57164,Website,Email
ZON614403,Christina Agyapong-Akyaa,"66287 Antwiwaa Views
Lake Henry, VA 67023",owusujoel@example.net,+233284392293,Call,86011,App,SMS
ZON80226,Salomey Darko,"0315 Terence Stream Suite 816
New Amaborough, CT 35763",gadutwumwaa@example.org,0272564512,Call,14725,Website,SMS
ZON470011,Ms. Amelia Kyerewaa,"105 Harriet Trail
Akyeamfuɔhaven, IL 41372",justinagyapong@example.org,0566612070,Email,39256,App,SMS
