customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
BAY849112,Frederick Koomson,"01490 Alice Summit
West Anthonyview, MH 12576",jasmine61@example.com,+233249113220,Email,36052,App,Call
BAY114674,Roselyn Akoaa,"001 Vida Underpass Suite 138
North Katechester, GU 66611",aampofo@example.org,0273533177,Email,85937,Website,SMS
BAY649158,Naomi Okyere-Boatemaa,"304 Akos Walks Suite 191
New Carolinechester, MA 94859",oseikofi@example.net,0272841236,Call,33828,Website,Call
BAY108686,Maria Amoanimaa,"59165 Stanley Trail Suite 469
Leslieberg, MD 56301",judith88@example.net,+233563043051,Call,8335,Website,Email
BAY969144,Josh Takyi,"674 Agyeiwaa Underpass
West Dora, ME 30376",appialucy@example.org,+233562543846,SMS,80189,Website,SMS
BAY240306,Alex Adomah,"Unit 1553 Box 9326
DPO AA 51548",fosugemma@example.net,0502678203,Email,62838,App,Call
BAY796530,Vanessa Serwaa-Awuah,"11064 Nicholas Villages
Rosemarymouth, MN 01258",paulansa@example.org,0549065948,Email,62759,App,SMS
BAY553780,Akua Bona,"41280 Wiafe Views
Lake Jeffreyfurt, ND 83384",htweneboa@example.org,0551305543,Call,80878,App,Email
BAY15881,Owura Frederick Bonsu,"5872 Christian Pines Apt. 991
Yawside, UT 77497",judith08@example.com,0574889216,Call,46047,Website,Email
BAY593031,Mathew Adomah,"3360 Abeiku Ville
West Lorrainehaven, UT 67379",gkoomson@example.org,+233209849281,Email,13412,App,SMS
BAY554699,Aba Nyaakoaa,"7560 Bonsra Rapids Suite 455
Lake Russell, NV 72125",terence88@example.org,+233249361348,Call,54423,Website,SMS
BAY96912,Joe Karikari,"8369 Nkansa Terrace Suite 128
West Antonychester, MH 04532",daakoaakofi@example.net,+233247145588,SMS,20162,Website,Email
BAY268608,Joanna Takyi,"44046 Akyeampomaa Avenue
Ansomahfort, AS 72345",reginaprempeh@example.com,+233551918411,Email,99853,Website,Call
BAY865709,Julie Omani,"PSC 7306, Box 5869
APO AE 88975",ameliaadu@example.org,0244043097,SMS,76816,App,Email
BAY752045,Marian Asare,"302 Anokye Dam
Karikaristad, ME 31231",mampofo@example.org,0549978079,Email,10398,Website,Email
BAY891990,Rita Agyapomaa,"870 Carl Flat Suite 968
West Jack, SD 83859",akwesi59@example.net,+233277491380,SMS,38965,App,Email
BAY485648,Rebecca Ata,"00646 Amoako Mall Suite 333
Susanbury, MD 28904",pomaaalbert@example.net,+233262900814,Email,16361,App,Email
BAY815469,Osofo Henry Fofie,"68158 Akoto Drive Suite 326
Amponsahport, ID 11392",jbaa@example.org,0508038708,Call,1142,App,Call
BAY511882,Janet Yawson,"399 Oti Cliffs Suite 621
Kyerewaaberg, DC 59508",alexyeboa@example.com,0560795532,Email,34368,App,Email
BAY687586,Constance Kusi,"PSC 0869, Box 5740
APO AA 22604",jboatemaa@example.net,+233289262181,Email,3313,Website,Call
BAY769475,Grace Anima,"5484 Afoakwa Drive
Port Sarahstad, NM 31312",rntiamoa@example.net,0276107576,Email,27762,App,Email
BAY431380,Kofi Yirenkyi,"1565 Antwi Cove Suite 456
Albertshire, LA 56454",gofori@example.org,+233281604561,SMS,67357,Website,SMS
BAY981899,William Yeboah-Adomah,"Unit 9443 Box 9036
DPO AE 79150",aamoanimaa@example.net,0501270203,Email,1557,Website,SMS
BAY171450,Osofo Graham Nkansa,"PSC 1287, Box 3840
APO AP 25962",rboaten@example.com,0545000199,Call,61824,Website,SMS
BAY183650,Mr. Vincent Acheampong,"9817 Nyaako Skyway
Philliptown, MT 84935",susanakyeamfuo@example.net,+233558404842,Call,87558,Website,Email
BAY620972,Dr. Julie Takyi,"PSC 8253, Box 4327
APO AE 99388",pahortor@example.com,0546184075,Email,73186,App,Email
BAY355663,Mrs. Gemma Anima,"1642 Karen Pines Apt. 419
New Naomi, TN 34704",eunice92@example.net,+233565753666,Call,96491,App,Email
BAY380419,Sista Vanessa Ahortor,"968 Alice Mountains
Ekowmouth, NC 33856",ubaah@example.com,0277267644,SMS,27935,Website,SMS
BAY218750,Dr. George Ampofo,"27787 Boahen Rue Apt. 969
Lake Peterchester, OH 30032",dasieduwaa@example.net,+233502540927,Call,33572,Website,Email
BAY306791,Colins Dwamena,"00616 Richard Cliffs
East Georgiaview, UT 46635",qamponsah@example.org,0568059426,SMS,21344,App,Email
BAY284501,Phillip Twumasi,"013 Victoria Roads
West Rosemarybury, CA 19010",joojo16@example.net,+233289932061,SMS,69549,Website,Call
BAY265573,Jake Antwi,"67045 Eric Parks
East Arthur, PA 32291",skarikari@example.com,+233280295064,SMS,40541,App,Email
BAY596895,Dora Oti-Tiwaa,"62204 Amoanimaa Streets
East Graham, AS 96784",susanboateng@example.net,+233570266827,Call,12144,App,Call
BAY545280,Osofo Jason Yeboah,"74425 Appiah Run
Akoaamouth, AS 24239",nkansarichard@example.com,+233577344920,Email,56868,Website,SMS
BAY96131,Mr. George Fosu,"120 Jill Road
Lake Susan, WI 66218",adomakojohn@example.net,+233205446139,Call,81542,Website,Email
