customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
GHA871803,Jake Boadi-Fosu,"242 Asare Cliff Apt. 165
Margaretmouth, UT 76890",katherineafoakwa@example.net,+233558003942,Call,56176,App,Email
GHA658883,Rachel Ampofowaa,"9493 Annette Pine
Ababerg, NY 13036",sylviadanso@example.com,+233565409199,Email,16367,App,SMS
GHA393084,Joshua Appiah-Ankra,"4737 Bonsra Spurs
Thomasfort, CT 89840",akosuagyasi@example.org,0208019704,Email,44660,App,Call
GHA113103,Mary Amponsa-Akɔmaa,"241 Lydia Crossroad
Fofieton, KY 65536",elliottakyeampomaa@example.com,+233263468677,SMS,11174,App,SMS
GHA274887,Alex Asamoa,"PSC 7244, Box 4217
APO AA 93208",ama51@example.net,+233248559916,Call,10317,App,SMS
GHA283974,Michael Nyantakyi-Yeboa,"USCGC Nkansa
FPO AA 23317",boatengyaw@example.com,+233546972482,SMS,16391,Website,Call
GHA915469,Irene Akyerεko,"PSC 2057, Box 5171
APO AP 80473",dappiah@example.org,+233549930479,Email,88747,Website,SMS
GHA970215,Dominic Donkor,"2228 Elliot Valley Suite 675
Shirleyfurt, HI 86889",znkansa@example.net,0204538258,SMS,76234,App,Call
GHA832817,Janet Bonsra-Kyerewaa,"PSC 4232, Box 6470
APO AP 15937",mensaadam@example.net,+233502983781,SMS,17957,Website,SMS
GHA895128,Timothy Tweneboa,"43315 Foriwaa Field
Nyaakobury, FL 30327",baawiaakumaa@example.org,0545243035,SMS,89473,App,Email
GHA695231,Kwaku Anokye,"13760 Howard Forges Apt. 690
West Janice, MS 68993",animaphillip@example.net,0567320794,SMS,51532,Website,SMS
GHA470260,Kweku Appia,"35311 Pamela Court
Stephaniestad, CT 72617",oppongrita@example.net,+233269790917,SMS,32375,App,Call
GHA43356,Alexander Kwaakye,"Unit 3070 Box 1808
DPO AE 37679",elizabeth43@example.com,+233287117343,Email,15311,Website,Email
GHA377853,Amanda Appia-Oppong,"4720 Eunice Landing Suite 550
South Williamfurt, CT 09493",lawrencia88@example.com,+233504166828,Call,12036,App,Email
GHA106087,Natasha Koomson-Duah,"46518 Joojo Coves
West Akos, AS 98293",susanboadu@example.net,0273227757,SMS,6529,App,Email
GHA562450,Mama Janice Okyere,"3459 Oti Ridges
East Joshhaven, NY 77406",okyereamelia@example.org,0207810977,Call,33168,Website,Email
GHA925223,Lawrencia Owusuwaa,"754 Okyere Rest Suite 693
Afirifashire, UT 60517",nyaakoakwesi@example.net,0244187287,Email,69511,App,SMS
GHA576091,Osofo Roger Duah,"0305 Irene Greens
Otuoberg, KS 48517",tonyamoasi@example.com,0547874279,Email,11003,Website,Call
GHA762914,Awura Janet Antwi,"0518 Appiah Road
Port Salomeyfurt, DE 96162",adwoa19@example.org,+233541046377,Call,57270,Website,SMS
GHA333941,Judith Dufie,"19393 Boadu Road Suite 355
East Alice, DE 35215",hoti@example.net,+233557909891,Email,62815,Website,Email
GHA156728,Awesi Boadu,"10449 Bona Corner Apt. 491
Lake Leslie, PA 55453",vfosua@example.net,+233243731855,Call,78667,Website,SMS
GHA494004,Kwasi Quartey,"5547 Tutu Island Suite 418
Lake Mathew, NM 39950",lawrenciaappiah@example.com,0279162870,Call,86694,App,SMS
GHA792839,Justin Karikari,"64486 Akowua Park
New Marilyn, CT 09275",eliabeth81@example.org,+233551832480,SMS,63115,App,Call
GHA312397,Akumaa Akyerεko,"36610 Kyerewaa Key
Ofosumouth, IN 62880",roselynkwaakyewaa@example.org,+233284224468,SMS,22301,App,Email
GHA17603,Katy Amoako,"8954 Kyeiwaa Mill Suite 978
Nimakoahview, MO 94912",amaadwubi@example.com,0540457084,Call,21393,App,SMS
GHA739748,Samuel Yirenkyi,"07344 Adu Fort Suite 122
Donaldport, GA 04525",wobeng@example.org,+233285513507,Email,21139,Website,Call
GHA168037,Georgia Gyamfi,"5692 Pokuaa Vista
Josiahmouth, MH 41596",eboateng@example.com,+233577932712,SMS,18330,App,Email
GHA596513,Maame Margaret Ansa,"155 Asiedu Forest
Oliviahaven, GU 85379",boadujulie@example.net,+233243947096,Email,68183,Website,SMS
GHA693103,Nicola Serwaa-Baafi,"56631 Appiah Crest Apt. 466
Port Kojomouth, AS 46863",kboadi@example.com,0248324748,Call,45784,App,Email
GHA326201,Stephanie Amoanimaa,"5268 Ampadu Ramp
Agyemangfort, TN 39970",constance32@example.com,+233260503511,Call,66600,Website,Email
GHA228488,Juliana Nti,"PSC 9907, Box 1052
APO AA 85541",itakyi@example.com,+233273787515,SMS,38472,App,Email
GHA643987,Mr. Raymond Kyei,"03953 Michael Burg
New Wendyfort, GU 24799",benjaminakyeamfuo@example.net,0273964209,SMS,7098,App,SMS
GHA220084,Patricia Foriwaa,"930 Judith Isle
South Colinsport, PA 87385",naomi60@example.net,+233502221479,Call,58949,Website,Email
