customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
IMP502593,Lydia Fosu-Ofori,"319 Ansa Plains
North Kwamenaville, AL 06331",amaahortor@example.com,+233274004886,SMS,211,App,Call
IMP187867,Alex Bona,"3015 Kyerewaa Rapid
East Priscilla, MI 21505",akos82@example.net,+233262501089,Email,51314,App,Call
IMP800954,Paula Okyere-Kyerewaa,"Unit 0846 Box 6778
DPO AE 16734",maureen82@example.com,+233204094898,Call,73513,App,Call
IMP955619,Josiah Asare,"6335 Alice Circles
East Victoriaberg, GA 28656",andorfulmary@example.net,+233207070075,Email,33820,App,Call
IMP286254,Lucy Gyamfi,"3990 Boakye Trace Suite 354
Shirleyhaven, AK 04524",benkwarteng@example.org,0273498547,Email,81541,App,SMS
IMP321206,Joseph Agyare-Baah,"140 Duncan Mall Suite 098
New Mathew, MH 06923",baawiahelen@example.net,+233280951543,Email,45195,Website,SMS
IMP458354,Sarah Akyena-Appiah,"578 Kumi Neck
Josephbury, OR 07849",safoaamichael@example.org,0579241263,SMS,38501,Website,Call
IMP675427,Dr. Kyle Ata,"Unit 5369 Box 1864
DPO AP 50985",opukumalcolm@example.com,+233277065241,Call,13054,App,SMS
IMP246576,Mama Roselyn Yeboa,"58190 Kofi Crossroad
Lake Aaronmouth, FM 72039",eata@example.com,+233502290544,Email,17725,App,SMS
IMP860419,Miss Georgia Appia,"8833 Natasha Junctions Suite 220
South Afua, MT 94200",fofiekevin@example.org,+233564683880,Call,2015,Website,Email
IMP435320,Oliver Twumasi,"210 Asenso Lane
Francescaland, ME 26036",foriwaagregory@example.org,+233207285049,Call,62201,App,Email
IMP801262,Patricia Boatemaah,"Unit 6663 Box 8590
DPO AA 76264",bbaawia@example.org,+233567313709,SMS,8955,Website,Email
IMP531236,Yaw Owusu,"8053 Akɔmaa Forge Apt. 827
South Baabaville, VA 83312",darkowendy@example.com,+233203841743,Call,58050,App,Call
IMP655405,Victoria Ofori,"80054 Bonsu Courts
East Sylvia, ID 84498",gregorybaah@example.com,+233506426174,Email,28763,Website,Email
IMP727812,Marcus Baa,"161 Lydia Forks Suite 251
East Danielleburgh, NC 26924",nicholas24@example.com,0555519400,Call,66084,Website,Email
IMP263245,Albert Boadu,"9691 Louis Court
Jillfurt, NY 84692",juliana25@example.org,+233578054499,Email,89532,Website,Call
IMP963770,Stanley Takyi-Baa,"08350 Nimakoah Heights
Wiafeview, NC 01266",pofori@example.org,0203593670,SMS,52336,App,SMS
IMP777451,Dr. Alexander Ofori,"746 Regina Harbor
Carolineside, NH 20622",bernard53@example.com,0271201359,Email,86966,Website,SMS
IMP730671,Victor Agyapong,"688 Obeng Bridge
Victoriaton, KS 44662",angela24@example.com,+233562860479,Call,92330,Website,Call
IMP688632,Awura Aba Daako,"7502 Gordon Square Apt. 621
South Kojoshire, TX 70065",matthew70@example.com,0551286029,SMS,73783,Website,Email
IMP99120,Dr. Carl Fofie,"90190 Gyamfiaa Corners Suite 253
North Julieville, MH 13523",julian26@example.org,0202947206,SMS,43638,Website,Call
IMP136920,Mrs. Amber Ansomaa,"4438 Benjamin Centers
East Anthony, MA 22999",mensahluke@example.org,+233269981344,SMS,53868,Website,Call
