customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
MIC989456,Shaun Ntiamoa,"85339 Pomaa Vista Apt. 990
North Dorcasville, AL 02035",thomasnti@example.org,+233285263056,Call,63661,App,Email
MIC731282,Ruth Gyasi,"3593 Gyasiwaa Extensions Suite 378
North Colins, KY 40338",qkwaakye@example.com,0568192151,Email,99275,Website,Call
MIC912227,Miss Denise Yeboah,"9123 Mandy Stravenue
Dwamenaberg, MI 99775",michelle83@example.org,0207985258,Call,4965,App,Call
MIC89470,Amelia Akyeamfuɔ,"30019 Lucy Meadows Apt. 013
Aaronstad, MO 89429",carlagyapong@example.com,0575104150,Email,88689,App,SMS
MIC145733,Natasha Asamoa,"PSC 7620, Box 4496
APO AE 91355",ataadaniel@example.org,+233283343477,SMS,18148,App,SMS
MIC184090,Awura Regina Akyeampomaa,"859 Charles Extension Apt. 180
Ampofoside, MS 60322",pamela44@example.com,+233246521921,Email,7351,Website,Email
MIC635050,Sheila Fosua,"71767 Lucy Ville
Owusuwaabury, OR 62956",daakogifty@example.net,+233504153604,Email,93370,Website,SMS
MIC238878,Joyce Darko-Koomson,"5360 David Ranch Suite 541
West Eunice, ND 22002",sboakye@example.net,+233204768540,SMS,72339,Website,Call
MIC212163,Tom Prempeh,"PSC 8299, Box 4465
APO AE 56886",benasiedu@example.com,0542075694,Email,85921,Website,SMS
MIC568333,Regina Daakoaa,"438 Karl Ports
New Anthony, MD 58567",nadomako@example.org,+233540840036,Email,43461,App,Call
MIC162873,Kwabena Ata,"0193 Mensah Port Apt. 913
New Antony, NY 96066",joycebona@example.org,0552031526,SMS,26555,App,SMS
MIC539984,Lydia Kumi,"390 Regina Oval
Vanessabury, MH 13589",eric98@example.net,+233241295417,Email,8924,Website,Email
MIC903113,Mr. Thomas Ampofo,"411 Nsia Estates Suite 206
West Joyce, HI 02004",marykwartemaa@example.org,0269054549,SMS,63732,App,Call
MIC467884,Arthur Kusi,"9367 Kofi Lodge Apt. 856
South Eliabethfort, WV 37966",akos80@example.com,+233263349065,Call,26824,Website,Call
MIC130927,Ms. Georgia Bonsu,"2756 Lawrence Motorway
Agyemangberg, AK 10621",comfortakyeampomaa@example.net,0545323990,Email,38548,App,Email
MIC109357,Steven Nyame,"6195 Amponsa Junction
Foriwaaville, MD 86545",untim@example.com,+233245157654,Email,35978,App,SMS
MIC659674,Jill Agyapong,"8894 Boahen Lodge
Rebeccamouth, OR 92629",ann92@example.net,0274309132,SMS,91048,Website,SMS
MIC797690,Ronald Agyapong,"846 Kwarteng Stravenue Apt. 595
Nyantakyiberg, FL 42712",hboadu@example.org,+233569466849,Call,7037,App,SMS
MIC678398,Judith Adwubi,"USNS Fosua
FPO AE 26909",marcusbonsra@example.org,0540341814,Call,81608,App,SMS
MIC569661,Julie Duah,"63795 Oti Club Suite 148
North Kofistad, RI 53982",nathan01@example.com,+233289904350,SMS,36525,App,Email
MIC810661,Sista Constance Boatemaah,"USNV Fofie
FPO AA 36653",anthonynkrumah@example.net,0571389605,Email,65188,Website,SMS
MIC895887,Mama Akumaa Tutu,"444 Karl Spurs
Safobury, PR 81528",kwartengrachael@example.com,+233284261647,SMS,20144,Website,Call
MIC333873,Wendy Afoakwa,"0340 Fofie Forest Suite 031
Lake Kwabena, PW 76971",thomas90@example.net,+233551070767,SMS,11816,App,Email
MIC460816,Osofo William Nkansah,"63691 Helen Grove Suite 650
Lake Teresamouth, PA 10041",asamoahnimakoah@example.com,0504505370,Call,53218,Website,Email
MIC712043,Mr. Ronald Antwi,"4777 Katherine Cove Apt. 045
New Dorcasberg, NE 28072",thomasakyeampong@example.com,0545771848,Email,24423,App,Call
MIC156456,Julian Gyasi,"16442 Akyena Rapid
West Natalie, NM 85350",kwaakyewaaclifford@example.com,+233271998543,SMS,42325,App,Email
MIC643416,Emma Safoaa,"25412 Kwadwo Hollow
Kyeiton, IA 48998",susan21@example.net,+233564834239,Call,13467,Website,SMS
MIC415969,Akumaa Akyerε,"3086 Francesca Unions
North Rebecca, TX 10254",sbaafi@example.net,0202572682,SMS,8976,App,Email
MIC750567,Yvonne Tweneboa-Ampoma,"289 Comfort Dam
North Elizabethville, IA 28473",afirifaannette@example.net,+233571744592,Call,93892,App,SMS
MIC366372,Anthony Bonsu,"9941 Otuo Lodge Suite 833
Asieduland, MN 63194",amelia27@example.net,+233562450045,SMS,82005,Website,SMS
MIC682970,Mr. Robert Amoa,"USNV Obeng
FPO AE 42947",samuel93@example.net,0570332344,SMS,41154,App,Call
MIC652189,Ms. Judith Ntiamoa,"5536 Nicholas Shoals
Afirifafort, NM 06611",leslieagyapong@example.net,0504648564,Email,13258,App,Email
MIC206130,Awura Ama Boaten,"8782 Quartey Stravenue
Akyenabury, AZ 03098",gasiama@example.com,+233287028737,Call,3096,App,SMS
MIC503637,Osofo Maame Katherine Safo,"569 Daniel Tunnel
North Georgia, ME 95491",juliana65@example.com,+233505904655,SMS,63451,App,Call
MIC141055,Marian Baawia,"5053 Aba Path Suite 371
Doraview, KY 87510",louisahortor@example.net,0556221858,Call,93301,App,SMS
MIC124303,Akwesi Duah,"645 Agyei Square
Baawiahaven, CT 91734",uofosu@example.org,0263403896,SMS,7413,App,SMS
MIC803989,Patrick Bonsu-Boadi,"982 Michael Alley
Jeremyview, MI 99037",campadu@example.com,0205451402,SMS,68835,Website,Call
MIC679927,Tina Opuku,"53271 Darko Ford
South Alexfurt, FL 15475",baduronald@example.com,+233554786919,Call,10824,Website,Call
MIC553189,Lawrence Anokye,"105 Fosu Rapids
Port Gracemouth, ND 55910",marilynasante@example.net,+233280114915,Call,54896,Website,Call
MIC484014,Debra Boateng,"84089 Ntim Vista
Okyereland, WI 82996",comfortadusei@example.net,0263945638,Email,94493,App,SMS
MIC218445,Mr. Alexander Asamoa,"785 Stephanie Brooks Suite 667
Victoriamouth, NJ 13289",priscillaoppong@example.net,0246179584,SMS,97932,Website,SMS
MIC52780,Sista Mary Donkor,"6079 Boakye Parks
Port Johnhaven, MO 24495",zagyare@example.net,0577847220,SMS,63052,Website,Call
MIC353058,Vincent Tawia,"USS Baa
FPO AA 97658",susan01@example.com,+233270449484,Email,33276,App,Email
MIC116175,Dr. Justin Afirifa,"9115 Terence Row Suite 758
East Kwaku, MO 16897",hprempeh@example.org,0248684563,Email,75862,App,Email
MIC545792,Sam Anokye,"0532 Yaamoa Land
Nsiafort, OH 24361",joshua80@example.net,+233200649446,Email,27380,App,Email
MIC534501,Osofo Joojo Asenso,"USNS Akyena
FPO AP 15157",kappia@example.org,+233574039486,SMS,19731,App,SMS
MIC46313,Ben Opuku-Asare,"47731 Safoaa Port
Serwaaport, AL 92477",elliott47@example.org,0281701437,SMS,5504,Website,Call
MIC242115,Patricia Boatemaa,"351 Amber Loaf Apt. 064
East Helenborough, AL 81486",pamelakwaakye@example.net,+233506205169,Call,92423,App,Email
MIC157379,Shaun Akyeampong-Boakye,"76646 Janet Prairie
North Marilyn, OR 60352",edwardopoku@example.com,+233543021947,Call,43449,App,Email
MIC55011,Olivia Ata,"8192 Albert Wells Apt. 485
Gordonburgh, VI 89332",rachelnsia@example.org,+233266444910,Call,35113,App,Email
MIC934112,Owura Joseph Amoako,"058 Akoaa Street
South Dennisside, VA 50250",charlottesarpong@example.com,+233243090435,Call,85015,App,Email
MIC200953,Karen Daakoaa,"00209 Akumaa Ville
Lake Dennisport, TX 65431",sakyeampong@example.net,0508782839,Email,29189,Website,Email
MIC678863,Dr. Eunice Osei,"0321 Agyapomaa Hills
Lucyshire, VT 35359",joyce58@example.net,0504806035,SMS,16266,Website,SMS
MIC774935,Matthew Agyapong-Tweneboa,"234 Lorraine Course Suite 555
Opukushire, DE 21641",adutwumnathan@example.org,0500237640,Email,89462,App,Email
MIC692712,Samuel Nyantakyi,"31871 Patricia Greens
West Thomaschester, ND 18113",julieoppong@example.org,0283257503,Email,44858,Website,SMS
MIC511385,Julie Daakoaa,"71764 Owusu Vista
West Kofi, OK 84957",kusistephanie@example.com,0565795656,Email,21947,App,SMS
MIC731673,Elliott Fosu,"USCGC Kyei
FPO AP 22638",sylvia68@example.org,0558403831,SMS,10844,Website,SMS
MIC193702,Osofo Clifford Asante,"07730 Luke Falls
North Donald, KS 62233",kennethdarko@example.net,0286061652,Email,71490,App,Call
MIC642409,Kwaku Boadi,"USCGC Pomaa
FPO AA 19244",totiwa@example.org,+233503121368,Call,52860,App,Email
MIC376197,Ann Opuku-Ansomaa,"97015 Maria Divide
Lake Georgiashire, VT 90624",comfort06@example.com,0263445108,Call,69244,Website,Email
