customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
NAT339250,Kenneth Boahen,"86084 Fofie Plaza
Gyamfistad, PA 16970",yaaadutwumwaa@example.org,0575159060,SMS,18034,Website,Call
NAT784944,Osofo Maame Joyce Daakoaa,"195 Donald Circles Suite 647
East Afua, MA 32062",fremaama@example.com,0200848253,Call,7189,App,Call
NAT676678,Miss Teresa Afrakomaa,"57399 Asiama Lake
Albertborough, CA 14399",qankra@example.net,+233509536674,Call,95135,Website,SMS
NAT957562,Osofo Roger Yaamoa,"24505 Rita Stream
South Adamland, OH 20663",cnyame@example.net,0277861003,Call,85603,Website,Call
NAT233637,Osofo Kevin Kumi,"147 Safoaa Tunnel Apt. 104
Lindaport, MI 25615",kujoeappiah@example.net,0243521849,SMS,78969,Website,SMS
NAT932669,Aaron Kwaakye,"410 Danso Extension
South Regina, IA 82187",benjaminbona@example.com,0288587059,Call,51055,Website,SMS
NAT174986,Kwaku Ata,"70434 Afia Neck Apt. 034
Danielport, PW 67882",xadu@example.com,0262484504,Call,22464,Website,Email
NAT324781,Miss Samantha Antwiwaa,"882 Duah Well Suite 968
West Samanthafort, OR 59291",justinakoaa@example.com,+233544992106,Call,15763,Website,SMS
NAT806300,Matthew Gyasi,"3000 Foriwaa Walks Apt. 375
East Thomas, VT 59723",terenceakowua@example.net,0500537691,Email,18949,App,Call
NAT686848,Julia Danso-Nyame,"244 Akos Manor Suite 387
South Lydiamouth, NH 45946",janice38@example.org,+233575213111,Email,67813,App,Call
NAT53138,Lorraine Amoa-Kwarteng,"0619 Julia Mount
Mariaville, DC 28017",karl98@example.net,+233557966273,SMS,24704,App,SMS
NAT911973,Elliott Amoasi,"7875 Kumi Park
Oliverburgh, LA 42819",jfrema@example.net,+233271547193,SMS,38263,App,SMS
NAT676036,Harry Dwamena,"PSC 0734, Box 4779
APO AA 25560",agyasi@example.org,+233569716626,Email,19266,Website,Call
NAT268446,Maame Shirley Adomako,"5779 Natasha Point Suite 526
Donkormouth, LA 37918",baawiajason@example.net,+233248223816,Call,36412,Website,Email
NAT966109,Rosemary Takyi-Akyerεko,"96427 Donald Freeway Suite 018
Otihaven, WI 40186",mariankwarteng@example.net,+233545022150,Call,16214,Website,Email
NAT373352,Christina Adwubi-Kyeiwaa,"0455 Oti Circle
Wiafeview, WI 06837",lawrencia27@example.org,0245224912,Email,86944,Website,SMS
NAT985642,Marian Badu,"83533 Yaamoa Centers Apt. 902
Margaretburgh, MO 52973",gafirifa@example.com,0502777864,SMS,49474,Website,SMS
NAT932010,Yvonne Boakye,"41142 Owusuwaa Key Apt. 547
Mensahtown, NV 86832",kwekuoti@example.net,+233556332646,SMS,38355,Website,SMS
NAT641189,Kate Otuo,"6232 Nyaakoaa Forges Apt. 296
Tawiastad, IN 67941",appiaoliver@example.org,+233558847259,Email,3084,Website,Email
NAT789746,Rita Safo,"976 Frema Springs
Nkansafort, OH 46302",yirenkyidorothy@example.org,+233556230556,Email,23612,Website,Email
NAT981843,Joshua Andorful,"306 Yvonne Wall Apt. 437
Susanland, IN 73618",rosemaryagyapong@example.net,0566133248,SMS,99038,App,SMS
NAT438032,Owura Patrick Ansa,"686 Ata Key Apt. 522
West Gregorymouth, NV 42653",akyeamfuokwabena@example.net,+233284293745,Email,77539,App,Email
NAT779093,Kofi Antwi,"9160 Janet Cove
Yirenkyiland, MH 66187",hamo@example.org,+233501828393,Call,89820,Website,SMS
NAT205531,Natalie Tawia,"126 Rebecca Ports
Tomview, GA 93502",dominicbonsra@example.net,+233201854661,Call,25806,App,SMS
NAT334009,Gifty Kyerewaa,"9335 Asamoah Ports
South Grahamport, WY 22615",joyce04@example.org,+233543993913,Call,88363,Website,Call
NAT292243,Agya Ronald Koomson,"Unit 9156 Box 4873
DPO AA 15505",richardomani@example.org,0565795940,SMS,52726,App,Call
NAT437678,Elliot Bona-Fosu,"90574 Ernestina Spurs Suite 650
New Timothyville, NH 67732",stephenawuah@example.org,+233207010380,Email,55525,Website,Call
NAT556070,Osofo Richard Nyame,"864 Barbara Bypass Apt. 344
Deborahside, NC 47672",asensoelliot@example.com,+233271672838,Call,32040,App,SMS
NAT799403,Ms. Afia Ata,"0969 Simon Shore Suite 328
West Angelamouth, PA 99743",sarpongjill@example.net,0287881454,Call,2615,Website,Call
NAT979954,Kwasi Prempeh,"778 Asiama Centers Suite 228
South Rita, WI 29517",yirenkyinaomi@example.org,0262181737,SMS,31971,Website,SMS
NAT778141,Jennifer Karikari-Koomson,"84611 William Forges
West Dorahaven, MI 09407",akumi@example.org,0203693659,SMS,55059,App,Call
NAT514973,Wendy Boakye,"7052 Bonsu Ports Apt. 954
Gyamfiport, KY 67695",joannabaafi@example.com,0568514833,Call,92212,App,Email
NAT661265,Maame Salomey Agyapong,"34309 Denise Pine Apt. 975
Fosumouth, NM 74647",kwasiyirenkyi@example.com,0286998650,SMS,50980,Website,Email
NAT335968,Agya Michael Asamoa,"USNS Gyasiwaa
FPO AE 02233",yirenkyikofi@example.com,0276599576,SMS,62445,App,SMS
NAT68341,Rosemary Kwaakyewaa,"PSC 6477, Box 9462
APO AP 92082",rebeccaofosu@example.org,+233266255132,Email,88464,App,Call
NAT307499,Nimakoah Ankra,"8202 Danny Dale
Twumasiville, LA 40440",tomaboraa@example.com,+233266358288,Call,79443,App,Email
NAT521137,Adwoa Safo-Daako,"86321 Julian Trail Apt. 781
New Carl, WV 95014",gkumi@example.com,+233200493085,Call,12359,App,Email
NAT540881,Joshua Otiwa,"516 Kwaakye Views
Akotoburgh, OR 51678",ruthkusi@example.net,0548356286,SMS,24809,App,SMS
NAT659169,Eric Nyaako-Agyei,"199 Boahen Ranch Suite 327
Juliastad, AZ 53320",jasonamponsa@example.com,0565928643,Call,60050,App,Call
NAT443186,Agya Tom Opuku,"925 Nyaako Parkways Suite 229
Sarahstad, VA 19365",akumaakusiwaa@example.net,0245601121,SMS,28675,App,SMS
NAT634260,Osofo Derrick Agyemang,"48787 Emma Falls
Baahside, FM 83290",vasante@example.net,+233566944683,Email,63683,Website,SMS
NAT563895,Ernestina Adomako,"Unit 3620 Box 7770
DPO AE 66259",juliana66@example.org,+233247595411,SMS,63568,Website,Email
NAT816216,Vida Asamoah,"23315 Kyle Stravenue
Julianafort, NJ 93052",nimakoah52@example.com,+233540947630,SMS,62866,Website,SMS
NAT997210,Wendy Nkrumah,"317 Daakoaa Lake
Lake Lucy, AK 79232",tawiapaula@example.com,0552109100,Call,14356,App,SMS
NAT177788,Maame Yvonne Boadu,"24848 Beatrice Alley Apt. 266
Helenbury, VA 13182",sarahappiah@example.com,0280065410,SMS,38783,App,Email
NAT648338,Agya Albert Mensa,"PSC 4595, Box 5899
APO AA 67568",hkwartemaa@example.com,+233502026346,Call,40385,App,SMS
NAT895905,Sarah Adoma-Agyapomaa,"Unit 6349 Box 2867
DPO AP 07762",catherine22@example.com,0268452044,Email,95191,App,Call
NAT735295,Kojo Acheampong,"3571 Daako Extensions
Katyport, CT 30612",oseigeorgia@example.net,+233283805785,SMS,50373,App,Email
NAT392612,Louis Asiedu-Ampadu,"50622 Louis Valley Suite 162
Otiwamouth, ID 28697",ntimafua@example.org,0504670964,Call,67901,Website,Call
NAT494828,James Ntim,"70030 Ntim Mountains Suite 302
West Karl, MA 45751",jnkrumah@example.net,+233547311630,Email,76857,Website,Call
NAT505467,Ernestina Agyare-Ansomaa,"070 Kwesi Oval Apt. 393
East Roselyn, TX 53629",joannaagyapong@example.net,0270694921,Call,29202,Website,SMS
NAT499782,Joseph Ata,"748 Takyi Islands Apt. 319
East Abigail, SD 45059",marianawuah@example.net,+233208254179,Email,33041,Website,Call
NAT512705,Jessica Afirifa,"32467 Boatemaah Port
Lawrenciashire, ME 61561",boakyelinda@example.com,0507816778,Email,91,App,SMS
NAT520666,Mandy Asiama,"4111 Kevin Rapids
North Danielmouth, PA 17840",amoakoarthur@example.net,+233267609572,Email,48321,Website,Email
NAT512242,Debra Daakoaa,"989 Serwaa Extensions Suite 410
Otiwahaven, VA 29423",ruth59@example.com,+233500269269,Call,18074,App,Call
NAT249498,Awesi Agyapong,"709 Samantha Lock
Jasonfort, ID 37550",boatenkofi@example.org,+233551395141,Call,49851,Website,Email
NAT55085,Osofo Maame Judith Fosu,"97367 Ruth Garden
Port Helenside, CT 84352",marcusyeboah@example.net,+233243377159,SMS,30103,App,Email
NAT98057,Harriet Yeboah-Amoanimaa,"828 Rita Square Apt. 893
Asareville, GA 09542",nnyaako@example.org,0262900216,Call,4379,Website,Email
NAT282281,Agya Kujoe Antwi,"PSC 8409, Box 2198
APO AP 22367",marilyn86@example.net,+233289581136,Call,34654,Website,Call
NAT757697,Osofo Maame Rachel Kwaakyewaa,"790 Barbara Loop Suite 291
Kyerewaaberg, SD 59788",samantha50@example.net,0269699849,Call,26322,App,Email
NAT270640,Mrs. Hannah Ampadu,"6707 Regina Corners
Catherineview, GU 97051",jamesamoakowaa@example.net,+233503702854,Call,240,App,Email
NAT598628,Sam Bonsra,"57683 Boadu Land
Bernardhaven, FM 58751",colins21@example.net,+233572143925,Call,58022,Website,Email
NAT903427,Sista Vida Agyare,"94237 Donald Ville Suite 372
Rosemarystad, OR 87544",wendy89@example.com,0282759692,Email,69756,Website,SMS
NAT793558,Agya Joe Otuo,"073 Harriet Meadow Apt. 654
Stephaniemouth, IN 86133",elizabethnyame@example.net,+233573412110,Call,95156,Website,Call
NAT821887,Dr. Stephen Akyeampong,"71020 William Fords Suite 466
West Isaac, ND 40813",kevin73@example.net,+233548182671,SMS,40838,Website,SMS
NAT236385,Akua Ansa,"37712 Josephine Stravenue
Port Henrytown, IN 52126",takyifrederick@example.net,0275576949,Call,121,App,Call
NAT348807,Awura Jennifer Akɔmaa,"907 Paul Spur
Wiafechester, CO 49293",pamela90@example.com,+233540252769,Email,79455,App,SMS
NAT665674,Sarah Yaamoa-Asieduwaa,"76291 Timothy Radial
Boakyeburgh, IL 92710",akyenahannah@example.com,+233548161987,Email,95037,App,Call
NAT980638,Priscilla Mansa,"752 Salomey Plaza
Harrietborough, GU 96166",otuorosemary@example.net,+233545918583,Email,93959,App,Email
NAT543655,Hannah Akowua,"2155 Asieduwaa Mill Suite 849
Rogerchester, NV 52537",wtwumasi@example.org,0547403587,Email,23770,App,SMS
NAT645790,Isaac Agyapong-Bona,"66191 Comfort Trail Apt. 773
Nataliebury, AL 08563",thomas04@example.net,0288306405,Call,80063,Website,SMS
NAT409658,Kujoe Mensah,"499 Boadu Drive
Yeboahtown, HI 84590",louis44@example.org,+233276539754,Call,87971,App,Call
NAT798500,Osofo Tom Osei,"905 Donkor Well Apt. 104
Sarpongside, PW 70849",sgyasi@example.org,0204227121,Email,79070,Website,Call
NAT312009,Patricia Acheampong,"553 Jacob Plain Suite 529
Afirifaton, CO 85043",ookyere@example.net,+233548829976,Email,35255,Website,Email
NAT598434,Owura Martin Yaamoa,"59570 Frema Fort
Lake Roselynborough, WV 53251",hantwi@example.org,0578751732,Call,15304,App,Email
NAT131047,Kwamena Darko,"9825 Duncan Heights
West Kwameborough, NM 14360",xyeboah@example.net,0540460911,SMS,34484,Website,SMS
NAT467105,Mr. Ben Afoakwa,"19011 Asamoah Loaf Suite 120
North Jakemouth, OR 03189",samuel82@example.org,0280001591,Email,21774,Website,SMS
NAT326287,Sista Joanna Nyaakoaa,"96713 Rosemary Courts Apt. 760
West Mark, MO 19774",debra09@example.net,0266728860,Call,69934,App,Call
NAT287819,Naomi Daako,"267 Daako Oval
Boahenville, PR 24923",gordon83@example.net,0544112631,SMS,21154,App,Email
NAT94973,Alex Tutu,"41205 Jennifer Lake
Margaretshire, IN 99145",philip33@example.org,0560556263,SMS,21121,Website,Email
NAT167133,Patrick Adutwum,"Unit 8337 Box 9643
DPO AA 98732",boakyemargaret@example.com,+233544905967,SMS,52903,App,SMS
NAT189942,Douglas Wiafe,"4370 Opuku Place
North Steven, MI 36651",georgeahortor@example.net,0567322780,Email,41835,Website,SMS
NAT532973,Julian Ntiamoa,"PSC 9218, Box 7619
APO AA 37047",gasamoa@example.org,0283386929,SMS,4871,Website,Call
NAT251594,Martin Obeng,"351 Adwubi Estates
Asamoahburgh, AZ 71220",takyifrederick@example.net,0285835475,Email,32145,App,SMS
NAT929191,Mr. Adam Yirenkyi,"34732 Andorful Way Suite 249
East Yawbury, NC 17373",bonacarl@example.org,0555054603,Call,9120,App,SMS
NAT343321,Dr. Antony Ata,"PSC 7656, Box 3709
APO AE 67890",sdwamena@example.com,0555631776,Call,50762,Website,Email
NAT95772,Sarah Akɔmaa-Agyeiwaa,"17511 Anokye Square
Agyeiton, TN 96039",marilyn67@example.com,+233263989482,Call,52674,Website,SMS
NAT933858,Susan Akowua-Badu,"43760 Kwamena Throughway
Boatemaafurt, TN 75397",oasiedu@example.org,+233577266669,SMS,34283,Website,Call
NAT274312,Colins Oti,"137 Awuah Tunnel Suite 147
Lindashire, ME 41593",duahkofi@example.com,0202516021,SMS,86272,App,Email
NAT763793,Douglas Akyeampong,"476 Sharon Flat
Amponsaborough, TX 69270",afirifasandra@example.org,+233507029276,Call,6744,App,Call
NAT380799,Gerald Akoto,"4906 Josephine Run Suite 309
Lake Georgeside, PA 06571",aduseidora@example.com,0569974461,Email,97917,Website,SMS
NAT67148,Juliana Agyapomaa,"9208 Baawia Ford Suite 445
Nyaakoland, NV 21045",jeffreygyamfi@example.org,0565686595,Email,78623,App,Call
NAT551600,Margaret Karikari,"810 Appia Haven Apt. 392
North Eunice, TN 90824",catherineyawson@example.org,+233554815763,Email,20967,App,Call
NAT107026,Agya Kofi Akoto,"9875 Oppong Locks
Lake Beatrice, CA 02037",jamoasi@example.org,0265535103,Call,54036,App,Call
NAT588429,Philip Okyere,"6532 Anokye Lakes Suite 973
Kwadwostad, ID 27850",awesiasare@example.net,+233249729697,Call,75074,Website,Call
NAT627782,Gerald Appia-Agyapong,"821 Otiwa Spring Apt. 752
Port Marilynfurt, NH 40822",pakyeampong@example.org,0560673824,Call,15110,App,Call
NAT717499,Benjamin Oppong,"563 George Glens
Pokuaaburgh, OK 71152",sbaa@example.net,0206123573,SMS,91197,App,Email
NAT662649,Lisa Asante,"611 Elliott Trace Apt. 122
Port Lucymouth, VT 06484",qtweneboa@example.org,+233500740910,Email,89436,Website,Call
NAT982970,Louis Baafi,"2365 Susan Port
New Tinashire, MH 68717",antony88@example.org,0574167345,SMS,29705,App,Call
NAT370681,David Kwarteng,"69762 Antwi Garden
Boatemaahchester, IL 63265",kwekukyei@example.net,+233576388796,SMS,52898,App,SMS
NAT95174,Rebecca Fofie,"475 Baafi Ramp
South Emilytown, AZ 85450",nbona@example.org,+233283942417,Email,15158,App,Call
NAT776527,Benjamin Boadi-Nkansah,"52706 Martin Place Suite 649
New Karl, HI 31706",nsiaalex@example.com,0506470847,SMS,28598,Website,Call
NAT764216,Grace Akyaa,"064 Kyei Key
East Gerald, DE 45009",atakyi@example.com,+233209959717,Email,91025,App,Call
NAT759324,Rebecca Baawia,"765 Joel Creek
Port Maxport, GA 43901",mary34@example.com,0265010140,Email,9300,Website,Call
NAT689377,Nicholas Adutwum,"USS Nyaako
FPO AA 09148",yaamoavincent@example.net,0204826347,Email,42671,App,Call
NAT62064,Millicent Asare-Gyasiwaa,"096 Akyerεko Landing
Nicholasmouth, UT 24069",afua54@example.net,0544966480,Email,93724,App,Email
NAT940631,Clifford Baah,"5096 Abigail Lake Suite 483
Asamoahberg, DC 08820",anokyejulie@example.net,0274724605,Call,93082,App,Email
NAT301659,Joojo Amo,"286 Akowua Wall Suite 947
South Lindabury, WY 44596",nicola88@example.org,+233566456061,SMS,5246,App,Call
NAT544113,Lawrence Ampofo,"37559 Joseph Fields Apt. 042
North Amaburgh, CA 62973",agyeigerald@example.org,0554952910,Call,85270,Website,Email
NAT814962,Gregory Badu,"802 Henry Fields
Asiamashire, PW 14113",mensahjacob@example.org,+233271070748,Call,70670,App,Email
NAT869432,Agya Antony Nkrumah,"46828 Kwarteng Rest Apt. 333
COmfortmouth, RI 23599",louis16@example.org,0540683447,Email,87748,App,Call
NAT470742,Bruce Oti,"88487 Julian Walks
New Maryshire, TX 48652",benjaminkumi@example.org,+233574044437,Email,41898,Website,Email
NAT710010,Sandra Antwiwaa-Frimpomaa,"1645 Tutu Locks Suite 621
Amoakobury, FL 49284",ampofowaakevin@example.org,0261605283,SMS,62889,Website,Call
NAT789468,Albert Quartey,"456 Justin Meadows Suite 850
East Tony, NJ 99217",nsianimakoah@example.com,+233247513304,Email,84780,Website,Email
