customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
STA181347,Joe Ampofo-Sarpong,"3540 Karikari Wall
South Tom, NM 09037",bwiafe@example.org,0248265443,SMS,8147,Website,Email
STA619425,Mama Afia Badu,"71009 Priscilla Mall
Asieduton, PR 17298",owusuakua@example.com,+233557282058,Call,78249,App,SMS
STA721443,Rebecca Adutwum,"6116 Agyemang Mount
Port Alextown, NM 27296",oasante@example.com,+233247164322,SMS,63496,Website,Email
STA801580,Jeffrey Kyei,"10206 Amelia Trafficway
South Euniceview, MA 10903",akwesikumi@example.com,+233266887827,Call,56678,App,Call
STA566564,Paula Wiafe,"62965 Antwi Islands Apt. 814
East Esiton, MS 69641",amaagyeiwaa@example.org,+233249639510,Call,88666,Website,Email
STA719581,Kwasi Akyeamfuɔ,"801 Nyame Springs
Lake Derrickport, FL 54546",boahenclifford@example.com,+233242565852,Email,58249,Website,Email
STA237774,Dr. Duncan Amoa,"769 Acheampong Centers Suite 937
Owusumouth, WY 45464",aahortor@example.net,+233201619289,Call,28933,App,SMS
STA392564,Jake Ata,"279 Ansa Mountains Apt. 313
West Karenmouth, AR 83677",nicolakwaakye@example.com,+233203339557,Email,57997,App,SMS
STA563424,Denis Akyena,"4795 Dorothy Brook
South Rosemary, MH 97675",yvonnedanso@example.com,+233201118164,Email,17949,App,Call
STA367053,Louis Yeboa,"66782 Denise Station
South Judithberg, NV 29107",jillopoku@example.org,0264883650,SMS,50380,Website,Call
STA627325,Adam Ankra,"0236 Tweneboa Way Apt. 654
Amoakohaven, SD 07855",akosua86@example.org,0270384598,Call,76632,Website,SMS
STA46896,Nigel Daako,"302 Asantewaa Terrace Apt. 989
Nigelmouth, AL 21649",richardnyaakoaa@example.com,0283235806,Email,7781,App,Email
STA715357,Malcolm Ofosu,"7920 Boadi Hollow
West Mark, OK 67497",rebeccafrimpomaa@example.org,0551898463,SMS,13474,Website,SMS
STA454051,Juliana Boakye,"1699 Safo Pines Suite 465
Joannamouth, AR 31465",julian23@example.org,+233555878357,Email,45960,Website,Email
STA603610,Priscilla Bonsu,"6355 Emily Shores Suite 749
Stanleyton, SD 65253",rfofie@example.org,0566160836,SMS,43633,Website,Call
STA783615,Dr. Gregory Ansa,"029 Adutwumwaa Rapid Suite 462
North Annburgh, OH 82961",agyapongamber@example.net,0541028476,Call,42521,Website,Email
STA840787,Osofo Maame Christina Daako,"19434 Samuel Village Suite 417
Yirenkyiville, FM 22743",vincent64@example.com,0544953162,Email,72141,Website,Call
STA826147,Akwasi Ntim-Adomah,"737 Rosemary Stravenue Apt. 417
Pamelaport, ND 36281",yawsonkwesi@example.net,+233559906451,Email,30240,App,SMS
STA662098,Shirley Kwartemaa,"9399 Afua Pike
Adrianborough, CA 12028",lisaadomako@example.org,0262399581,Email,27102,Website,Email
STA322394,Georgia Agyemang,"13131 Mark Brook Apt. 083
Nsiatown, OR 75540",agyemangkojo@example.net,+233572532792,Email,77259,Website,SMS
STA684550,Gregory Asiama,"89496 Kwaakye Village
Naomiborough, OH 23775",abigail45@example.org,0558926397,Email,29008,Website,Call
