customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
TRO780913,Mathew Afirifa,"52261 Dufie Union
Baahhaven, FL 35738",kwabena54@example.net,0578482791,Email,88219,Website,Email
TRO792999,Raymond Adusei-Yeboah,"93309 Maria Turnpike Apt. 205
North Tony, LA 47756",duahgifty@example.org,+233284001872,SMS,51500,Website,Email
TRO934376,Ms. Abena Boahen,"086 Samantha Stravenue Apt. 453
Andorfulview, AS 04523",adrian18@example.com,+233276397946,Call,4338,App,Email
TRO937421,Kwamena Antwi-Opuku,"8835 Jennifer Lock Suite 988
New Marytown, NV 74654",joshuaokyere@example.net,+233549280996,Call,11487,Website,Email
TRO946454,Sista Yaa Adomako,"246 Kwaakyewaa Ways Apt. 955
Elliotland, AS 88534",xampofo@example.com,0272701910,Email,56906,App,Call
TRO689807,Owura Josh Yirenkyi,"3784 Marcus Fords Suite 060
Ankrachester, MN 30395",rogerkwarteng@example.org,0245723291,Call,59040,App,SMS
TRO535773,Margaret Asante-Asare,"55441 Victoria Avenue
Agyaremouth, MT 63699",elizabethtweneboa@example.org,0572724233,SMS,21120,Website,Call
TRO303519,Georgia Abrafi-Agyei,"519 Veronica Row Suite 099
Gyamfiport, RI 62854",kwame84@example.com,0503946922,Email,50151,Website,Call
TRO781658,George Daako,"59598 Baawia Roads Apt. 746
Dannyside, ME 90240",joyceakyeampomaa@example.org,0555466343,Call,45858,App,SMS
TRO342426,Nicholas Ampofo-Osei,"94255 Ntim Field Suite 489
Lake Ekowbury, AS 74074",sandraamo@example.org,+233565929728,Call,81772,App,SMS
TRO331048,Awura Mandy Akoto,"87696 Boaten Rue
West Gemmaberg, CA 80301",denisebaafi@example.net,0502493544,Call,59397,App,SMS
TRO220411,Sam Nsia,"792 Adam Course Suite 644
Opukufurt, TX 31177",salomey16@example.net,+233541263459,SMS,13127,Website,Call
TRO90852,Justin Adomah-Kusi,"3916 George Gardens
Opokuville, VA 70478",aaronboadi@example.org,0240197144,Email,98843,App,SMS
TRO936687,Clifford Amoa,"472 Fiifi Park Apt. 136
Akosuatown, WI 01066",agyapongpeter@example.org,0278911263,Email,77480,Website,Call
TRO67622,Annette Asamoa,"29837 Abeiku Motorway
East Duncan, KY 36689",yquartey@example.net,0568665990,Call,32441,Website,Email
TRO590057,Mr. Ronald Ankra,"614 Sarah Freeway
Rachaelshire, MS 67547",david47@example.com,0502575544,Call,69541,App,Email
TRO68046,Victoria Adoma,"USCGC Ampofo
FPO AA 27043",boakyedominic@example.org,0273753529,SMS,10769,App,Call
TRO375489,Rachel Anokye,"92290 Akoaa Harbor Suite 083
Wiafeside, UT 23429",amandaowusuwaa@example.org,0542947896,Call,58070,Website,SMS
TRO883669,Stephanie Kwaakyewaa,"5172 Debra Canyon
Thomaston, TX 89350",nyameclifford@example.net,+233565492201,Email,69029,App,Email
TRO171290,Lawrencia Adusei,"PSC 5980, Box 4891
APO AA 42982",tamoako@example.com,0207935546,Email,19723,App,Email
TRO238544,Dominic Wiafe,"58723 Tony Hills
Rogerborough, VA 98980",nicola81@example.com,0579298860,Call,36617,Website,SMS
TRO924969,Sista Ruth Okyere,"541 Sarpong Summit
Amponsastad, PA 44129",johnyeboah@example.net,+233553950201,Email,50491,Website,Email
TRO503399,Mrs. Dora Kyerewaa,"67532 Shirley Point
South George, DE 97878",lawrence94@example.net,+233501013293,SMS,39778,Website,Call
TRO587933,Abena Akyerε-Ofosu,"PSC 6487, Box 0163
APO AA 98389",pomaaakos@example.com,+233281101947,Email,41739,App,SMS
TRO49865,Julie Awuah,"877 Frema Land
Opokuside, ID 83009",bonsualexander@example.org,+233283997392,SMS,25990,Website,Email
TRO395498,James Ampofo-Agyare,"670 Jason Forge Suite 093
Martinside, MI 31873",kevin75@example.com,+233209271216,Email,79563,Website,SMS
TRO443014,Patrick Daako,"300 Thomas Point
East Georgiaton, CT 19926",bonsurachael@example.org,+233577232599,Call,15075,Website,Call
TRO132760,Jasmine Takyi,"4572 Nana Ama Valleys Suite 414
New Nicolaville, PR 93559",carolineprempeh@example.net,0502176241,SMS,93741,App,Call
TRO96512,Agya Kwabena Agyare,"4809 Duncan Circles Apt. 875
East Oliverland, PR 70350",boatemaaphilip@example.org,0261869127,Email,88208,App,Call
TRO51378,Andrew Appiah-Boadu,"171 Tom Ramp Apt. 489
Elliotton, MO 44752",asarepamela@example.com,0541306288,Email,18762,Website,Call
TRO174248,Rita Pokuaa,"1034 Asantewaa Terrace Apt. 008
North Jennifermouth, LA 06338",bbaafi@example.org,+233545593014,Email,5094,App,Email
TRO94766,Mr. Aaron Boaten,"67129 Ronald Extensions Apt. 093
New Isaacfurt, SC 37970",nyaakovanessa@example.org,+233209611763,Call,15105,Website,SMS
TRO797230,Duncan Nsia-Nsia,"8931 Donald Walk
Joannaborough, NH 14961",vosei@example.org,+233549714387,SMS,65813,App,Call
TRO623502,Sarah Kwarteng,"355 Ntim Viaduct
Johnborough, FL 04516",safoaajeremy@example.org,0555384323,Email,93389,App,Call
TRO569929,Mama Ernestina Yeboa,"1748 Ampadu Union
East Juliastad, NM 73979",julian98@example.org,0244700586,SMS,82000,App,Email
TRO979121,Ms. Akumaa Amponsa,"3594 Donkor Neck
Gyamfiland, OK 09761",yirenkyiabena@example.net,+233270503247,Call,80076,Website,Call
TRO423115,Ama Boateng,"32396 Joseph Rapids
Jamesland, AL 81437",darkokujoe@example.net,0276957507,SMS,18646,App,Call
TRO722658,Mr. Max Asiedu,"74876 Donald Loaf Suite 342
Akowualand, IL 53344",joshkyei@example.org,0508786033,Email,62182,Website,Email
TRO981329,Karl Asante,"PSC 4637, Box 6248
APO AE 45980",awesi14@example.com,0567442193,Call,44929,App,Call
TRO451809,Ms. Rachel Kusi,"5229 Baa Spur
North Lisa, AK 06145",samampoma@example.com,0571748140,SMS,71231,App,Email
TRO352007,Douglas Prempeh-Kyei,"3040 Karikari Trail Suite 615
Antwiside, FM 37961",jenniferampofo@example.com,0241856570,Call,73960,Website,Call
TRO476365,Arthur Tweneboa-Danso,"47067 Max Knolls
East Akwesiside, WI 25997",harriet35@example.com,+233289717505,Email,9595,App,Call
TRO219343,Elliot Anokye,"PSC 2363, Box 1494
APO AP 26512",alice04@example.com,0269248404,Call,2021,App,Call
TRO574080,Vanessa Fofie,"1813 Tiwaa Lake
Lake Ritashire, MT 02472",duncantweneboa@example.net,+233543674481,SMS,58389,App,Email
TRO439675,Nigel Gyamfi-Boadi,"9544 Bruce Parks Suite 220
Asiamaberg, KS 49968",dominicakyena@example.net,0562626203,Call,14031,Website,Email
TRO636872,Adam Asenso,"906 Carl Highway Suite 699
Beatricetown, CA 24029",bdanso@example.net,+233266418676,Email,78245,App,SMS
TRO266002,Beatrice Opuku-Owusuwaa,"45570 Rita Squares Suite 474
Lake Sarah, NJ 91769",elliottntim@example.net,+233284361615,Email,7020,App,Call
TRO516503,Dr. Aba Ansomaa,"78537 Kwaakye Inlet Apt. 357
Takyifort, MP 09891",nana-amakwaakyewaa@example.com,+233559953952,SMS,25411,Website,SMS
TRO91885,Dominic Amoako-Appiah,"185 Yirenkyi Plaza
Port Richardberg, SD 03285",lawrenciaadomako@example.com,+233556714051,Call,43702,App,Call
