customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
WIL440275,Miss Sarah Adu,"0366 Margaret Wall
Oseiville, NM 49718",fadu@example.net,+233554116265,SMS,38123,App,SMS
WIL645349,Bernard Amoa-Andorful,"Unit 9079 Box 9439
DPO AA 65707",xasiedu@example.net,+233577505407,SMS,88419,Website,Email
WIL483987,Vincent Ata,"724 Regina Mount Suite 403
Lake Douglasbury, FL 20512",andorfularthur@example.net,0260854455,Email,52031,Website,Call
WIL534316,Akumaa Yirenkyi-Aboraa,"10086 Takyi Ferry Apt. 017
New Kwamenaview, DE 24565",lawrence21@example.com,0268770877,Call,30147,Website,Call
WIL386931,Osofo Kofi Bona,"15547 Omani Overpass
Lake Daniel, AR 20881",asamoahmillicent@example.org,0273829785,Email,12082,App,SMS
WIL711898,Ruth Amo,"1641 Aboraa Bridge Apt. 591
Adutwumport, MI 03081",ekowmensa@example.org,+233573209787,Call,50617,App,Call
WIL812737,Kujoe Amoa,"37251 Gordon Mount Suite 932
Lake Yvonneton, IN 32870",akyeamfuonaomi@example.org,0203185690,SMS,43829,App,SMS
WIL464224,Georgina Asiedu,"15827 Nicola Lake Apt. 694
South Amberport, MA 40874",yyirenkyi@example.net,+233507845444,SMS,52591,Website,Call
WIL346051,Amanda Ampoma,"410 Graham Coves Apt. 828
West Danielle, WI 66824",maureentawia@example.org,+233566519810,Email,28284,Website,SMS
WIL913682,Carl Bonsu,"2105 Omani Crossing
New Yaatown, OH 89374",harriet80@example.net,0545281966,SMS,15100,Website,Call
WIL669559,Rosemary Gyamfi,"80047 Quartey Loaf
North Emma, AZ 69564",fkusi@example.net,+233575256269,Email,12658,Website,SMS
WIL235993,Eunice Duah,"4241 Afoakwa Gardens
East Ameliamouth, ME 72759",nkrumahbarbara@example.net,0207166166,Call,82925,App,Call
WIL970420,Margaret Foriwaa,"919 Philip Views
Joelview, OK 46728",helen24@example.net,0265620757,Call,7839,Website,Email
WIL51270,Marilyn Yirenkyi,"680 Agyare Prairie Suite 979
South Ernestina, ME 64064",asiedunigel@example.com,+233206502182,Call,91780,App,SMS
WIL603181,Justin Takyi,"33225 Asamoah View
East Aliceside, PW 94803",otijoyce@example.com,0577672265,Email,4886,Website,Call
WIL36569,Janice Owusuwaa,"PSC 8910, Box 4742
APO AP 05179",okyerejohn@example.com,0269306554,SMS,32292,App,Email
WIL405705,Christina Boatemaa,"26323 Gifty Court
Nkansaburgh, CT 14816",jakeandorful@example.net,0267837982,SMS,83859,App,SMS
WIL804684,Miss Rosemary Opuku,"023 Anthony Ports Suite 962
Kwasimouth, WY 84380",afosu@example.net,+233287120210,Email,13283,App,SMS
WIL769628,Jill Agyapomaa-Ansa,"201 Asiedu Road Apt. 752
Akosview, MS 97845",oforijeremy@example.org,+233562257204,SMS,69922,Website,Email
WIL866302,Sheila Adomah,"583 Teresa Crossing Suite 147
Gyasiport, DC 58346",gyasiwaamary@example.com,+233503454969,SMS,26698,App,Email
WIL87828,Rosemary Ntim,"386 Fofie Camp
South Carlshire, CO 35487",wakyeampomaa@example.net,0564273539,Call,66568,Website,Email
WIL588876,Simon Asamoa,"08698 Darko Ports Apt. 206
Port Joyce, WV 88581",lawrenciaakyeampomaa@example.net,0204285418,Call,1568,App,SMS
