customer_id,name,address,email,telephone,contact_preference,transaction_activity,customer_preference,communication_method
ZON492690,Victoria Agyemang,"99033 Millicent Pines
Nkrumahshire, GU 07936",bserwaa@example.com,0569830267,Call,51695,App,SMS
ZON843708,Akosua Afirifa,"07795 Grace Island
West Maryville, FM 09204",eliabeth84@example.net,+233266627236,Email,6648,App,Email
ZON319911,Sarah Yeboah,"410 Terence Ports
New Louisville, MP 15829",esiopuku@example.com,0564950662,Call,40240,Website,SMS
ZON927284,Barbara Asieduwaa,"162 Oppong Prairie Suite 974
Prempehfurt, SC 95496",russell04@example.com,+233203562118,Email,71467,App,Call
ZON360090,Stephanie Akyerε,"4173 Regina Knolls Apt. 184
Janetland, MH 03534",salomeyquartey@example.org,0270253797,Email,97662,App,Call
ZON685575,Sharon Ankra,"PSC 8337, Box 2590
APO AP 07747",ritaamponsah@example.com,0576350103,SMS,97602,App,SMS
ZON542537,Dorcas Adusei,"7644 Tweneboa Vista
Lake Benjaminhaven, NH 86462",karikarikujoe@example.org,0559494870,SMS,56587,Website,SMS
ZON830927,Michael Baah,"91634 Kate Street
Bonaborough, MP 67681",sharon16@example.org,0545390273,Email,50494,Website,Call
ZON531506,Wendy Mansa,"25309 Marilyn Port
New Natalie, PR 81388",deborah60@example.org,0280114337,Call,26432,Website,Email
ZON383127,Owura Philip Antwi,"43313 Mansa Dam Suite 317
Gordonfort, OK 44139",wendydonkor@example.com,0278481460,SMS,58184,Website,Call
ZON471407,Martin Baafi,"13682 Fosua Drive
Gyasiwaamouth, DC 69465",paboraa@example.org,0249023795,Email,22325,App,Call
ZON405570,Amelia Yaamoa,"6677 Bona Burg Apt. 582
New Nigel, NV 80510",amber62@example.net,0284822666,Call,18154,Website,SMS
ZON344629,Naomi Opuku,"5301 Tawia Plain Apt. 477
Antwiton, WY 91275",mtakyi@example.net,0545116883,Call,61440,App,Email
ZON919003,Agya Arthur Darko,"84694 Awesi Mount Apt. 040
New Kujoe, NJ 53063",samantha12@example.net,0276043589,Call,23539,Website,SMS
ZON938908,Lawrencia Dwamena,"USCGC Yirenkyi
FPO AP 63799",vadutwum@example.com,0205509292,SMS,21781,App,Email
ZON782242,Salomey Kyerewaa,"924 Daniel Light Apt. 903
Lake Constance, VT 93924",rtwumasi@example.com,0268573499,Call,65369,App,SMS
ZON383307,Anthony Amoa,"603 Denise Divide Suite 283
Graceburgh, FL 44415",vincentakowua@example.net,+233569944847,SMS,19117,Website,Call
ZON602967,Alice Nyame,"26496 Darko Drive Suite 439
Port Julian, NC 10699",paulnyame@example.org,0280919687,SMS,30454,App,Call
ZON906087,Amber Fosua,"31324 Kujoe Roads Suite 066
Agyapongshire, OR 41252",lorrainesafoaa@example.org,+233277242309,Email,96957,App,Call
ZON333465,Barbara Nsia-Frema,"569 Marian Mount
Lake Dora, WY 85555",rebecca83@example.com,+233208196885,SMS,91976,App,SMS
ZON828834,Sista Shirley Tawia,"15519 Nyantakyi Rapid
Georgiafurt, MP 59885",duncananokye@example.com,0249676941,Call,59923,App,Call
ZON743788,Henry Asiedu,"29094 Kyeiwaa Corners
New Julianborough, MD 31583",raymond43@example.org,+233206562454,Call,42282,Website,Call
ZON942914,Clifford Ofori-Anokye,"PSC 6030, Box 3709
APO AE 86803",boppong@example.org,0574632664,SMS,88440,App,Email
ZON207958,Raymond Koomson,"59232 Nigel Light Apt. 521
Lake Alice, CA 02985",benjamin57@example.net,0578043283,Call,60992,Website,Call
ZON346677,Amanda Anima,"853 Pomaa Plaza Apt. 106
Jasonport, MA 22529",adamahortor@example.net,0271099083,Call,57464,Website,SMS
ZON524393,Barbara Boakye,"021 Patricia Port Apt. 575
Baahview, FM 09327",tomdaako@example.org,0554281827,Email,95859,Website,Email
ZON936942,Pamela Kyerewaa,"8355 Baah Street Apt. 709
North Joojo, WI 83088",marian93@example.org,0543061946,SMS,37191,Website,SMS
ZON520548,Ben Afoakwa,"79080 Karikari Springs
North Ruth, AR 34133",amoakoroselyn@example.com,0208254646,SMS,36854,App,Email
ZON136663,Mrs. Danielle Koomson,"735 Asenso Track
Sharonside, PR 03915",mfofie@example.com,+233274132048,Call,3446,App,SMS
ZON538466,Sylvia Akowua,"43485 Asieduwaa Oval Apt. 527
Patrickton, AS 16307",lnyantakyi@example.net,+233574059572,Call,11710,Website,Call
ZON290817,Akosua Adutwum-Akyeamfuɔ,"413 Karikari Court Apt. 127
Joshmouth, VI 66712",samponsah@example.org,0287076092,Call,51521,Website,SMS
ZON661951,Catherine Nkrumah-Boatemaah,"83023 Bona Run Suite 830
East Sheilaberg, OR 51951",boatengordon@example.org,+233265519555,Call,17002,App,SMS
ZON24082,Sam Nkrumah,"Unit 1491 Box 7206
DPO AA 24036",lamoasi@example.net,+233547136423,Call,786,Website,Email
ZON686782,Sarah Asante-Nyaako,"00708 Mark Parks
Joshuafort, KY 18144",paulkyei@example.com,0570392862,Call,68711,Website,Email
ZON276564,Agya Dominic Dwamena,"01851 Baawia Run Suite 398
Boatemaahstad, TX 21229",dyirenkyi@example.com,+233209469398,SMS,3981,Website,Call
ZON224057,Karen Nkansa,"224 Ahortor Port Apt. 829
Port Akosfurt, IA 11792",wendyoti@example.net,+233280685427,Call,59739,Website,SMS
ZON895606,Ann Amponsa,"144 Asantewaa Greens
Port Daniel, KS 68479",janicenyame@example.org,0562972275,Call,85985,App,Call
ZON297999,Clifford Ampofo-Dwamena,"1306 Pamela Parks Suite 192
Gracebury, AZ 31475",kwamenti@example.net,+233548739479,SMS,66240,Website,Call
